,Level,Camera Position,Light Color (RGB),Fog,Material
clip_b_in1k,0.0,0.10673853009939194,0.0,0.0,0.21477940678596497
clip_b,0.0,0.238377183675766,0.0,0.0,0.41562023758888245
dinov2_b_in1k,0.0,0.3950539529323578,0.0,0.0,0.24128252267837524
dinov2_b,0.0,0.08517331629991531,0.0,0.0,0.16923320293426514
dinov1_b,0.0,0.19773083925247192,0.0,0.0,0.4014565348625183
dinov3_b,0.0,0.10946476459503174,0.0,0.0,0.29857137799263
swin_b_in1k,0.0,0.1403161883354187,0.0,0.0,0.23552905023097992
swin_b,0.0,0.13727380335330963,0.0,0.0,0.22834990918636322
vit_b_in1k,0.0,0.14970670640468597,0.0,0.0,0.17089536786079407
resnet50_in1k,0.0,0.1929931640625,0.0,0.0,0.173583984375
resnet50,0.0,0.28125,0.0,0.0,0.0243682861328125
hiera_b_in1k,0.0,0.1705329865217209,0.0,0.0,0.16159836947917938
dinov2_s_in1k,0.0,0.42003539204597473,0.0,0.0,0.27613604068756104
dinov2_s,0.0,0.12685637176036835,0.0,0.0,0.26617053151130676
dinov1_s,0.0,0.1896592527627945,0.0,0.0,0.4476664960384369
dinov3_s,0.0,0.1489609032869339,0.0,0.0,0.44046759605407715
swin_s_in1k,0.0,0.13761569559574127,0.0,0.0,0.2577403783798218
swin_s,0.0,0.15442240238189697,0.0,0.0,0.22662173211574554
hiera_s_in1k,0.0,0.16590248048305511,0.0,0.0,0.1807546317577362
clip_l_in1k,0.0,0.07607046514749527,0.0,0.0,0.18428650498390198
clip_l,0.0,0.31449538469314575,0.0,0.0,0.36371445655822754
dinov2_l_in1k,0.0,0.3704179525375366,0.0,0.0,0.2900778651237488
dinov2_l,0.0,0.0697774663567543,0.0,0.0,0.1494876742362976
dinov3_l,0.0,0.09789304435253143,0.0,0.0,0.24915790557861328
swin_l_in1k,0.0,0.16752247512340546,0.0,0.0,0.2937023341655731
swin_l,0.0,0.16752247512340546,0.0,0.0,0.2937023341655731
vit_l_in1k,0.0,0.2504429221153259,0.0,0.0,0.2253728061914444
hiera_l_in1k,0.0,0.1588621437549591,0.0,0.0,0.16275830566883087
