value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
stove-2;50;0.0;0.06;50;0.0
stove-3;50;0.18;0.48;50;0.18
table-lamp-1;50;0.72;0.8;50;0.72
table-lamp-2;50;0.4;0.52;50;0.4
table-lamp-3;50;0.1;0.52;50;0.1
toilet-seat-1;50;0.38;0.6;50;0.38
trash-can-1;50;0.72;0.78;50;0.72
yawl-1;50;0.08;0.34;50;0.26
washer-3;50;0.06;0.1;50;0.06
upright-piano-2;50;0.18;0.28;50;0.22
vase-2;50;0.76;0.8;50;0.76
vase-3;50;0.7;0.8;50;0.7
washer-2;50;0.02;0.12;50;0.02
washer-1;50;0.04;0.2;50;0.04
wall-clock-2;50;0.1;0.2;50;0.16
wine-bottle-1;50;0.76;0.9;50;0.88
earphone-1;49;0.0;0.0;0;
missile-1;49;0.0;0.7142857142857143;49;0.7142857142857143
printer-3;49;0.0;0.10204081632653061;49;0.0
remote-1;49;0.16326530612244897;0.2857142857142857;49;0.16326530612244897
wall-clock-1;49;0.04081632653061224;0.24489795918367346;49;0.08163265306122448
trash-can-3;49;0.6326530612244898;0.7755102040816326;49;0.6326530612244898
vase-1;49;0.6530612244897959;0.8163265306122449;49;0.6530612244897959
