Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.8391,0.9754,0.7501673057167791,0.7796387840148657
imagenet-9,0.5587654320987654,0.7103086419753086,0.5114378114963809,0.8992475290746915
imagenet-a,0.3067041348855881,0.5961461260537937,0.2931149611559571,0.6697870845042952
imagenet-c,0.6893273684210526,0.877197052631579,0.6452491376712653,0.8193177676494523
imagenet-d,0.20682523267838676,0.5613236814891417,0.1960233205345757,0.5674149934810953
imagenet-hard,0.2704007285974499,0.5436247723132969,0.2534287500693734,0.7375238173479804
imagenet-mini,0.8668,0.984,0.7748549631100614,0.7917745849217931
imagenet-r,0.4361333333333333,0.6027666666666667,0.41378451483633055,0.8446550555990544
imagenet-sketch,0.4488592819666333,0.679871878009,0.428823281784396,0.821949823851752
imagenet-v2,0.735,0.9266,0.6666844566987362,0.7933293800539083
tiny-imagenet,0.5826,0.7853,0.560459401459992,0.796956203631557
normal_dataset,0.22708333333333333,0.41369047619047616,0.21937679001636015,0.7872154128844099
plastic_dataset,0.2073063930939572,0.39334417615413486,0.19958974590618125,0.7929837755954233
objectnet,0.261333046193604,0.4139657585872725,0.24886328785719747,0.7903676193239083
PUG_ImageNet,0.4283692600307943,0.6149012770582375,0.41083685815299187,0.8150400857275557
AVERAGE,0.47097383630886,0.6718960338085939,0.4381796390977719,0.7804801278441162
