Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.838,0.9742,0.7770561831356958,0.77500721883379
imagenet-9,0.5416666666666666,0.6962037037037037,0.5077986142826683,0.8991532303087859
imagenet-a,0.23230295731299344,0.49458048976314734,0.2192167430172319,0.6482900832095646
imagenet-c,0.6558711578947368,0.8439423157894737,0.6218288216286033,0.8407484090261735
imagenet-d,0.23081695966907964,0.556153050672182,0.21703116205793482,0.6068608019845778
imagenet-hard,0.2575591985428051,0.5473588342440802,0.24055046690521908,0.7089982257198101
imagenet-mini,0.8666,0.982,0.8016792848351411,0.7762566904869743
imagenet-r,0.5262333333333333,0.7069,0.5022468127005035,0.8327628221172086
imagenet-sketch,0.5482520780522313,0.7858476291536481,0.5232805211590343,0.7976866573712751
imagenet-v2,0.7373,0.9237,0.6875048620725749,0.7909755297559677
tiny-imagenet,0.5893,0.7797,0.5655438792945584,0.8005059673255104
normal_dataset,0.2875,0.4625,0.27581079058173125,0.8359533236126895
plastic_dataset,0.26122857500312774,0.4162392093081446,0.24983768598139253,0.8428844637799644
objectnet,0.27646172068482827,0.41606546785829657,0.26072918970749404,0.7919592246055656
PUG_ImageNet,0.47887419617788246,0.6501902001630288,0.4571146837455074,0.8302715804122467
AVERAGE,0.48853112288917894,0.6823720600437136,0.46048198007368596,0.7852209485700069
