value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
stove-2;50;0.02;0.04;50;0.02
stove-3;50;0.18;0.36;50;0.18
table-lamp-1;50;0.8;1.0;50;0.8
table-lamp-2;50;0.12;0.64;50;0.12
table-lamp-3;50;0.66;0.74;50;0.66
toilet-seat-1;50;0.58;0.76;50;0.58
trash-can-1;50;0.64;0.68;50;0.64
yawl-1;50;0.0;0.06;50;0.06
washer-3;50;0.22;0.28;50;0.22
upright-piano-2;50;0.4;0.5;50;0.44
vase-2;50;0.76;0.8;50;0.76
vase-3;50;0.38;0.8;50;0.4
washer-2;50;0.18;0.24;50;0.18
washer-1;50;0.14;0.18;50;0.14
wall-clock-2;50;0.02;0.2;50;0.2
wine-bottle-1;50;0.58;0.82;50;0.8
earphone-1;49;0.0;0.0;0;
missile-1;49;0.4489795918367347;0.6122448979591837;49;0.5306122448979592
printer-3;49;0.061224489795918366;0.16326530612244897;49;0.061224489795918366
remote-1;49;0.08163265306122448;0.16326530612244897;49;0.08163265306122448
wall-clock-1;49;0.0;0.16326530612244897;49;0.14285714285714285
trash-can-3;49;0.4489795918367347;0.6326530612244898;49;0.4489795918367347
vase-1;49;0.22448979591836735;0.673469387755102;49;0.22448979591836735
