Model,imagenet-1k,imagenet-9,imagenet-a,imagenet-c,imagenet-d,imagenet-hard,imagenet-mini,imagenet-r,imagenet-sketch,imagenet-v2,tiny-imagenet,normal_dataset,plastic_dataset,objectnet,PUG_ImageNet,Mean,Std
Swin-B-KNN,0.027902878734618424,0.15880408365256438,0.42257009091190456,0.05714546888895412,0.45996150741933417,0.2443278743486804,0.021317422550916655,0.3089089683545133,0.29907005767035155,0.09249748458638787,0.26198562220782046,0.34723450888081325,0.388818215184034,0.3444132930343934,0.27692489379841645,0.24745882468158018,0.1439555236725452
Swin-S-KNN,0.01969100576668977,0.1522848600979297,0.4165245282038634,0.04314349716495372,0.4182692198265795,0.23865691913064493,0.023455779726803246,0.30411903123358885,0.27928517454785173,0.0861119776174426,0.24756196109727024,0.34484166636220404,0.3556178334919112,0.32418490636019154,0.26626034123191594,0.23466724679065604,0.13781954525530862
Hiera_B-KNN,0.023623881491124637,0.16042477542948388,0.3786975216107022,0.03693282787857872,0.4151153365699064,0.22872099049172223,0.01874984704554082,0.2808029925525189,0.25807433739662067,0.08197146534398195,0.21809220619648692,0.32795394529987654,0.3365180007120657,0.345375424331788,0.258201944873988,0.22461703314829237,0.13248996164054913
Hiera_L-IN1K-KNN,0.02715053860545156,0.1655832830690031,0.32108057903969095,0.03543957407816778,0.4181110342662115,0.2621242337553119,0.02126481339931483,0.2589565297909081,0.24538340383997534,0.08192272624149916,0.1950505801796913,0.3492372991827628,0.3635911087391449,0.36335444769115977,0.23058182593631088,0.22258879852097355,0.132201794215974
Hiera_S-IN1K-KNN,0.020500562783330713,0.14748126790755325,0.39419329136602055,0.032599703128333976,0.40932128980925314,0.2277560354961941,0.020090044496953483,0.27969631807953116,0.24857964455339393,0.07794899204820394,0.2252022017791867,0.31851080240726115,0.3098728338751211,0.3346535168436534,0.2618319188888157,0.22054922823085377,0.13192156204011457
CLIP-L-IN1K-KNN,0.02364672664910554,0.16173541585006465,0.3043282410753279,0.052585308417933505,0.41955666157427596,0.25767417611428733,0.02371200392246244,0.15089800848687684,0.1624730353781023,0.07970358861386773,0.17970722710117698,0.2777425101204288,0.30016748045265756,0.364303442219432,0.19172295907065412,0.19666378566977688,0.12231864824666557
Swin-B-IN1K-KNN,0.011758622809052498,0.11132300153719607,0.30986696242823525,0.016067022261704277,0.37767863324934836,0.19103969333113216,0.01754898286461825,0.21689924990783135,0.18851715342619108,0.06317061468213798,0.17243807105347514,0.30035376602650754,0.2878307045330083,0.3181255824528566,0.22129624395345887,0.18692762030111693,0.12061368139383732
Swin-S-IN1K-KNN,0.014819649205058853,0.09874693490311873,0.3183468591691531,0.03554522369180539,0.34308484822295937,0.17986834250892664,0.02377574611753226,0.2345374233715236,0.19329956244128937,0.04939688628390432,0.18471166087463498,0.2821729003850903,0.25973146556074145,0.2887518792502928,0.21442352953973337,0.1814141941017176,0.11177314041864705
CLIP-B-IN1K-KNN,0.01692501567780972,0.12506619283607529,0.33418974188932465,0.02015048128561832,0.3916974831083568,0.19293243953744404,0.02072516765743493,0.18159177897001305,0.15777956818958158,0.06589400564134118,0.1332266707219183,0.2627231294377929,0.2771451994338621,0.3255898231201021,0.18879885752578662,0.17962903700216412,0.12028101774507767
Swin-L-IN1K-KNN,0.01092893979340792,0.09490331501320559,0.25352197427192436,0.0183331036637496,0.37592012420712734,0.19785134581160238,0.022640992689132743,0.19837284070824582,0.1758412433001125,0.059896988433599516,0.14544310366287827,0.27348609667360074,0.28462230803319843,0.31067649897096095,0.19789309794812537,0.1746887982120581,0.11447581842301295
Swin-L-KNN,0.01092893979340792,0.09490331501320559,0.25352197427192436,0.0183331036637496,0.37592012420712734,0.19785134581160238,0.022640992689132743,0.19837284070824582,0.1758412433001125,0.059896988433599516,0.14544310366287827,0.27348609667360074,0.28462230803319843,0.31067649897096095,0.19789309794812537,0.1746887982120581,0.11447581842301295
DINOv1-S-KNN,0.04703898452222348,0.06828272850080219,0.2770590841975554,0.12351042247203307,0.2507412051633694,0.0960737035160236,0.05639870785474778,0.16333467764606083,0.1499162117858326,0.026915661394596096,0.0957925499677658,0.17012087981926188,0.1705512971097964,0.17604490237586704,0.13558615007402422,0.13382447775999734,0.07171224295456506
ViT-L-IN1K-KNN,0.02854483044669032,0.06818379470745078,0.27369963787281737,0.014536006719242538,0.27472770537221813,0.1301906851261094,0.03551904863119125,0.16112106447791064,0.13145412642333568,0.028229619383066885,0.053909344650804984,0.18063108558056964,0.18756446921395134,0.2118421332092152,0.17144419181148565,0.13010651624173733,0.08839000568518747
DINOv2-B-KNN,0.015692373224347817,0.07152699666488688,0.11677933053013698,0.053648541723219985,0.33513805876874136,0.15506163376548032,0.01859879804998635,0.10227885038281477,0.10365168353797323,0.05638058353587987,0.07031796856522558,0.18185400033724453,0.21895763278939648,0.29045500480464104,0.1153393211921215,0.1270453851914731,0.09429670054607074
DINOv1-B-KNN,0.04388412013977769,0.06727697866750351,0.2710318220635981,0.12053808760148521,0.2503447166889628,0.08733383002529813,0.056849563363194466,0.15243589557384454,0.12625290065934697,0.026595525622367854,0.05136417788043619,0.17411172413267192,0.16444076663592755,0.18032564184544891,0.12227669447320005,0.12633749635820427,0.07363058048933957
DINOv2-L-KNN,0.021439345482140777,0.0729063967071519,0.09872884962946542,0.04287879569384928,0.32955565831962025,0.18113173042612324,0.021639989842474457,0.07419474237610897,0.10274756785639777,0.07476592577248817,0.08009211607724429,0.140287047150057,0.19801544425753886,0.30277396361547637,0.08365485013908232,0.12165416155634796,0.09368497994876585
