Model,imagenet-1k,imagenet-9,imagenet-a,imagenet-c,imagenet-d,imagenet-hard,imagenet-mini,imagenet-r,imagenet-sketch,imagenet-v2,tiny-imagenet,normal_dataset,plastic_dataset,objectnet,PUG_ImageNet,Mean,Std
DINOv3-L-KNN,0.8334,0.7096913580246914,0.5811588384852134,0.9623972631578948,0.2095139607032058,0.5762295081967214,0.8402,0.7171333333333333,0.6543260822574624,0.7313,0.7055,0.3827380952380952,0.36632053046415614,0.3504899321632389,0.5657322706276605,0.6124087448434448,0.20991582507503692
DINOv2-L-KNN,0.81078,0.6668518518518518,0.6221062491636559,0.9195684210526316,0.20682523267838676,0.5336976320582878,0.8124,0.6177,0.5941362573444163,0.7127,0.6829,0.3860119047619048,0.3090203928437383,0.3163561968342845,0.5268204872747034,0.5811916417242574,0.2046757619363623
CLIP-L-IN1K-KNN,0.87526,0.5886111111111111,0.386859360363977,0.7760014736842106,0.2543950361944157,0.4733151183970856,0.8886,0.6567,0.641847943563442,0.7772,0.607,0.3443452380952381,0.3231577630426623,0.32707009798643266,0.5369305316547415,0.5638195782728878,0.20845248567226124
DINOv2-L-IN1K-KNN,0.8159,0.6340432098765432,0.5489094071992506,0.8846656842105263,0.1592554291623578,0.4969945355191257,0.8248,0.5237333333333334,0.5642673269272338,0.7115,0.6537,0.3607142857142857,0.2985111972976354,0.2743081727145472,0.4240105062947197,0.5450208725499706,0.21532150612969342
DINOv2-B-KNN,0.79728,0.6510493827160494,0.5252241402381909,0.8772797894736842,0.18883143743536712,0.5449908925318762,0.8032,0.5051,0.5228438365855096,0.6952,0.6373,0.3169642857142857,0.2637307644188665,0.27236997954129427,0.46062403767774657,0.537465903088858,0.21113397835418507
Swin-L-IN1K-KNN,0.85314,0.6388271604938272,0.37120299745751373,0.8453724210526316,0.20041365046535678,0.4961748633879781,0.8628,0.4615,0.4653068443082002,0.7425,0.5912,0.23214285714285715,0.20530464156136619,0.27145472165392487,0.4450117742958065,0.5121567954546307,0.23644453624434916
Swin-L-KNN,0.85314,0.6388271604938272,0.37120299745751373,0.8453724210526316,0.20041365046535678,0.4961748633879781,0.8628,0.4615,0.4653068443082002,0.7425,0.5912,0.23214285714285715,0.20530464156136619,0.27145472165392487,0.4450117742958065,0.5121567954546307,0.23644453624434916
Hiera_L-IN1K-KNN,0.86194,0.600925925925926,0.34858825103706675,0.7990749473684211,0.21013443640124096,0.4644808743169399,0.8718,0.44583333333333336,0.4586059855764507,0.763,0.5897,0.24970238095238095,0.24158638808957839,0.2819532680090449,0.4630807897835341,0.5100271053862612,0.2292480221365164
DINOv2-B-IN1K-KNN,0.8053,0.6269444444444444,0.4516258530710558,0.8426086315789474,0.147052740434333,0.5273224043715847,0.8148,0.45563333333333333,0.4946255575861188,0.6863,0.5927,0.2910714285714286,0.23845865131990493,0.23968988909227953,0.3871931890227335,0.5067550748550775,0.22210303142983506
CLIP-B-IN1K-KNN,0.84622,0.586604938271605,0.22614746420446943,0.7617985263157895,0.19875904860392968,0.4819672131147541,0.8572,0.5141333333333333,0.5454223899074456,0.7408,0.5901,0.25744047619047616,0.234204929313149,0.2680628836007322,0.4659451136672403,0.504987087768195,0.2302164739149134
Swin-B-IN1K-KNN,0.84414,0.6176234567901234,0.2887729158303225,0.8209155789473684,0.19855222337125128,0.5026411657559199,0.8542,0.4215333333333333,0.4391911808052821,0.7299,0.5563,0.21369047619047618,0.20030026272988866,0.25336491870356415,0.4171950004528575,0.4905547008606925,0.239079412573111
Hiera_B-KNN,0.84342,0.5882098765432099,0.23832463535394086,0.766456,0.16732161323681488,0.48506375227686704,0.8546,0.3895,0.4031519581834974,0.7333,0.5129,0.2005952380952381,0.20117602902539722,0.24345859804027134,0.4136740331491713,0.4694101155936272,0.24145154112605402
