Model,imagenet-1k_Top1,imagenet-1k_Top5,imagenet-1k_ECE,imagenet-1k_ROC,imagenet-9_Top1,imagenet-9_Top5,imagenet-9_ECE,imagenet-9_ROC,imagenet-a_Top1,imagenet-a_Top5,imagenet-a_ECE,imagenet-a_ROC,imagenet-c_Top1,imagenet-c_Top5,imagenet-c_ECE,imagenet-c_ROC,imagenet-d_Top1,imagenet-d_Top5,imagenet-d_ECE,imagenet-d_ROC,imagenet-hard_Top1,imagenet-hard_Top5,imagenet-hard_ECE,imagenet-hard_ROC,imagenet-mini_Top1,imagenet-mini_Top5,imagenet-mini_ECE,imagenet-mini_ROC,imagenet-r_Top1,imagenet-r_Top5,imagenet-r_ECE,imagenet-r_ROC,imagenet-sketch_Top1,imagenet-sketch_Top5,imagenet-sketch_ECE,imagenet-sketch_ROC,imagenet-v2_Top1,imagenet-v2_Top5,imagenet-v2_ECE,imagenet-v2_ROC,tiny-imagenet_Top1,tiny-imagenet_Top5,tiny-imagenet_ECE,tiny-imagenet_ROC,normal_dataset_Top1,normal_dataset_Top5,normal_dataset_ECE,normal_dataset_ROC,plastic_dataset_Top1,plastic_dataset_Top5,plastic_dataset_ECE,plastic_dataset_ROC,objectnet_Top1,objectnet_Top5,objectnet_ECE,objectnet_ROC,PUG_ImageNet_Top1,PUG_ImageNet_Top5,PUG_ImageNet_ECE,PUG_ImageNet_ROC,Avg_Top1,Avg_Top5,Avg_ECE,Avg_ROC
CLIP-B-IN1K-LOGITS,0.85498,0.9759,0.04770099792480475,0.8569391732729598,0.5408950617283951,0.7007098765432099,0.04530913953427916,0.8894646236468909,0.24421249832731165,0.5261608457112271,0.23265550823459244,0.6666416042531724,0.6507168421052631,0.8426652631578947,0.0191888865412662,0.8629410994206241,0.21447776628748708,0.6045501551189245,0.30879678814956046,0.5621898903295294,0.2638433515482696,0.5428961748633879,0.24718276338281958,0.7344571984883619,0.8636,0.9794,0.0559790283203125,0.8522443729379438,0.5109,0.6980666666666666,0.06317592010498047,0.8103008362583123,0.5543044665841341,0.7906423785100906,0.05369942122062886,0.8225912923260824,0.7571,0.9293,0.026577078247070313,0.8363317177596752,0.5663,0.7705,0.05542513275146483,0.8089713287197606,0.2586309523809524,0.44910714285714287,0.23124522254580543,0.7830045470945115,0.23007631677718005,0.40072563493056423,0.26606409728385383,0.7677900358091918,0.2919134273715947,0.42812533649187035,0.25765231146781115,0.7790504321517006,0.4787270174803007,0.6574925278507382,0.09911461194327492,0.8148552379502039,0.4853785133727259,0.6864161335134479,0.1339844605101683,0.7898515593612614
CLIP-L-IN1K-LOGITS,0.8729,0.98236,0.05206935180664063,0.859288571992812,0.5538888888888889,0.7202777777777778,0.044975188337726374,0.8872079528254675,0.38351398367456174,0.6833935501137428,0.1445459431949811,0.7020017249759953,0.6962690526315789,0.8761745263157895,0.024618439155980172,0.865946344390831,0.25811789038262667,0.6421923474663909,0.2994519964492309,0.582551709163432,0.32285974499089254,0.6122950819672132,0.2189469870756667,0.7324041078154537,0.887,0.9854,0.06201756591796875,0.853359140385709,0.6421333333333333,0.8302666666666667,0.023490371004740388,0.8042592666266135,0.6482343925013264,0.8656094637347953,0.022134029885644963,0.8200108054927513,0.7856,0.946,0.030829077148437543,0.8374607795733654,0.5791,0.7778,0.02102063598632814,0.7905239116629268,0.3392857142857143,0.5580357142857143,0.19203402201334635,0.7930411332385016,0.30514199924934315,0.5093206555736269,0.20782831125916823,0.7771903439236049,0.3327231614084204,0.4745342952514267,0.24524066095731095,0.7792523055053782,0.5430327868852459,0.7211076895208768,0.06775837188159607,0.8361896233151883,0.543320063215462,0.7456511845782681,0.11046406347165115,0.7947125147258688
DINOv2-B-IN1K-LOGITS,0.84522,0.96886,0.014695703735351515,0.8734161637488024,0.5704938271604938,0.7238580246913581,0.041447598021707444,0.9111327430686073,0.5341897497658237,0.7693028234979259,0.0690925605291027,0.7875660470610857,0.7094583157894737,0.8848421052631579,0.010064899240594144,0.8792419320711324,0.19607032057911064,0.5199586349534643,0.30137628281128814,0.6094888946059515,0.3121129326047359,0.5801457194899818,0.19809042508484886,0.7654841107086037,0.8526,0.9718,0.022019458007812482,0.8693021680669646,0.5355333333333333,0.7107,0.03854704691569011,0.8464148828024973,0.5497848257973236,0.7784983002220519,0.05842182093682911,0.8401295370784592,0.7652,0.9291,0.015640939331054704,0.8563720745085852,0.659,0.8326,0.06535049438476563,0.8184677308104789,0.28095238095238095,0.518154761904762,0.10405792054675875,0.8085317077533953,0.2397097460277743,0.4567746778431127,0.1310403652756709,0.8168517937684201,0.2920749434693658,0.437816302358135,0.22171285528020937,0.8010709931157702,0.4328865139027262,0.6130672040576035,0.05123729997760477,0.8420083356906793,0.5183524592921694,0.7130319036187702,0.08951971133861925,0.8216986076572954
DINOv2-L-IN1K-LOGITS,0.85898,0.97548,0.03522655761718749,0.8671774344150198,0.6105246913580247,0.7607716049382716,0.017040913899739555,0.9056309428402671,0.6179579820687809,0.8346045764753112,0.04099569852837403,0.8006203169050673,0.7786231578947368,0.9306094736842105,0.017474661054109303,0.8754480858041219,0.2467425025853154,0.5706308169596691,0.2391296828545114,0.6499637736696721,0.3941712204007286,0.6549180327868852,0.1457748176838748,0.7676811408851785,0.873,0.9804,0.05004957275390622,0.8485037566180516,0.6335333333333333,0.7920333333333334,0.030881897989908872,0.851816434709367,0.6238086816404331,0.8348759063844838,0.02687879335732933,0.838970599560052,0.7844,0.9401,0.022183840942382852,0.8475063128028087,0.7279,0.8641,0.04651767730712893,0.8043695650428738,0.37648809523809523,0.5976190476190476,0.03093811216808502,0.7821170300074524,0.2982609783560616,0.5232078068309771,0.062163688118461076,0.7918314779937804,0.3325616453106493,0.48013351997415743,0.20344214030175747,0.7892223895107765,0.5199936599945657,0.7000498143284123,0.025624331265361316,0.8308252268142533,0.5784630632120482,0.7626355955543173,0.06628815905614119,0.8167789658385829
DINOv2-S-IN1K-LOGITS,0.82094,0.95886,0.013035166625976586,0.8731081758603099,0.5191666666666667,0.6825925925925926,0.07911946143633053,0.9016445477253061,0.36852669610598154,0.6281279272046032,0.14683333225523343,0.7601462928260314,0.6046465263157895,0.807797052631579,0.04089361444413031,0.8718244698318348,0.18407445708376421,0.5001034126163392,0.29790311732484487,0.5879044730208911,0.22987249544626595,0.48515482695810563,0.22962367990629268,0.7492491429486017,0.8274,0.9618,0.02648446044921879,0.8709561090024707,0.4271,0.6106666666666667,0.08744371337890626,0.8476559471914776,0.4463636542278292,0.6889504608068542,0.09113907483728372,0.8278985269068084,0.7297,0.9115,0.027308831787109356,0.8535666393950332,0.5176,0.7458,0.11544421997070314,0.8080285196569958,0.20684523809523808,0.44434523809523807,0.156964719863165,0.7996914438430494,0.185287126235456,0.3905917677968222,0.16882724349137526,0.7955724911118227,0.23850543770862495,0.3777861526865511,0.22301005608583405,0.7927777525969582,0.3637464903541346,0.5471537904175346,0.09050689474761771,0.8399957966516822,0.44465165254931677,0.6494153258981925,0.11963583910693477,0.8120013552379516
Hiera_B-LOGITS,0.84486,0.97034,0.08430638702392579,0.8532131516131471,0.5423456790123456,0.7029938271604939,0.04328488114439413,0.8784547752386558,0.24916365582764619,0.5183995717917838,0.20817618597850698,0.6534488702852939,0.6531858947368421,0.8398621052631579,0.09192264499383225,0.8241413144014882,0.18386763185108584,0.5466390899689763,0.2972837998430633,0.526264440589123,0.2754098360655738,0.5110200364298725,0.1985169957895748,0.7418063735465696,0.8542,0.9726,0.09245815429687503,0.8504226192598245,0.3796333333333333,0.5377666666666666,0.1296560236930847,0.8121567420530863,0.3993397394328833,0.6069484564444182,0.12482960070621835,0.8305380005717933,0.7482,0.9187,0.05060808258056641,0.8365062382176849,0.4874,0.7138,0.0657640808105469,0.7773679397364504,0.20327380952380952,0.3827380952380952,0.18297281265258789,0.7172724543054522,0.17665457275115726,0.35118228449893657,0.24046436215795267,0.7166965011732205,0.26585549693119415,0.4075051146764294,0.21393941906177025,0.7697419102770511,0.4266257585363645,0.6110972737976632,0.0934516311436824,0.8037745414382946,0.446001027200149,0.6394395014624329,0.14117567079177212,0.7727870581804756
Hiera_L-IN1K-LOGITS,0.86044,0.9765,0.08229372070312498,0.853072211223386,0.5646604938271605,0.7236419753086419,0.04996951235665217,0.882951035158848,0.3623712029974575,0.6500735982871672,0.14763673108280959,0.6902008506140137,0.7060926315789474,0.8787416842105263,0.10517292806886372,0.8249934737316353,0.22771458117890384,0.5975180972078593,0.2880143805644874,0.5582795403895859,0.325591985428051,0.5648451730418943,0.1890292975420509,0.7340333454526567,0.8652,0.979,0.08946596679687498,0.8625461463430695,0.4372666666666667,0.6059666666666667,0.10493766721089678,0.8072418388571208,0.45797716598872057,0.663109905873568,0.10220205424733302,0.8368518601303877,0.7717,0.9323,0.048989263916015664,0.8300329420440369,0.5672,0.7705,0.0388043731689453,0.7910111185992612,0.2467261904761905,0.44285714285714284,0.10573793819972448,0.7497570535492583,0.2287001125985237,0.41060928312273237,0.1896128392586433,0.7285985241738407,0.29762032949283945,0.437816302358135,0.23641374065735576,0.7770221819464156,0.4826555565619056,0.664998641427407,0.08081951474767694,0.8150562253747201,0.49346112778635765,0.6865652313574493,0.12393999523476369,0.7827765565058823
Hiera_S-IN1K-LOGITS,0.83886,0.96682,0.07313909423828127,0.8542236663905572,0.5320679012345679,0.6946604938271604,0.03875748392976361,0.8805042957546767,0.19590525893215577,0.4521611133413622,0.24188009859583043,0.6360712233107534,0.629154947368421,0.8203054736842105,0.07301016644969736,0.8244488058532264,0.15553257497414685,0.5079627714581179,0.3080747933767451,0.5356174863601545,0.2600182149362477,0.4802367941712204,0.19484457352990878,0.7506211720328708,0.8432,0.9704,0.07768035888671876,0.8548452142953955,0.34726666666666667,0.5022333333333333,0.12896819410324098,0.8123231553089832,0.37756686120772665,0.5750358623671127,0.11250902900889952,0.8339907028131371,0.7355,0.9132,0.03576241149902341,0.8325313207198014,0.4796,0.6996,0.08098717041015625,0.7805306625621274,0.18958333333333333,0.3636904761904762,0.17496529533749539,0.7563357894924969,0.1641436256724634,0.31490053797072437,0.23817014318375748,0.7409928980435965,0.24281253364918703,0.3843544739959083,0.22595774540799013,0.7769368064647137,0.39152929988225704,0.5804388189475591,0.11574404892439041,0.8031525935276492,0.4255160811904782,0.6150666766191457,0.1413633737921266,0.7782083861953427
ResNet-50-IN1K-LOGITS,0.80364,0.94566,0.08636966735839846,0.8726804510753319,0.5047530864197531,0.6562345679012346,0.13145603956999602,0.9069978218272462,0.04308845175966814,0.16927606048441055,0.4799868495496548,0.5527340136592112,0.5048553684210526,0.7014496842105263,0.12454661499103747,0.8708064225362021,0.09017580144777664,0.3476732161323681,0.531459671856822,0.51355343478814,0.1924408014571949,0.3909836065573771,0.3724510901612662,0.7775938594268746,0.8114,0.9488,0.08085329589843746,0.8764573282474473,0.2771,0.41013333333333335,0.3212566520690918,0.823736967585332,0.2965277368390025,0.4670557487865747,0.2813803431734253,0.8394138868012628,0.6889,0.8759,0.13923202514648436,0.8590610423009789,0.3519,0.5643,0.2830960144042969,0.80304417060313,0.12113095238095238,0.26875,0.4495407558622815,0.7076171236347328,0.10646815963968473,0.2509695983985988,0.45278595058518,0.7299213273395393,0.1954344783030042,0.3214170345644449,0.3518594409313759,0.7927236153632883,0.3260461008966579,0.4915768499230142,0.2781967033176856,0.8272001040896713,0.35425739583764987,0.5206786466861254,0.29096474099169556,0.7835694379518927
Swin-B-IN1K-LOGITS,0.8528,0.9757,0.08230313171386722,0.8606326060190472,0.5529320987654321,0.7094753086419753,0.04481992865786141,0.8878278558347722,0.3061688746152817,0.6101967081493376,0.16980380468318762,0.6689052268849761,0.6805016842105264,0.8683953684210526,0.07766571406555177,0.8380207126373942,0.21054808686659773,0.598965873836608,0.25938694824723696,0.5307058742992908,0.2715846994535519,0.5320582877959927,0.1895935447706768,0.7219964363995091,0.8574,0.9814,0.08477280273437503,0.8619689455482196,0.4357666666666667,0.6081333333333333,0.07870234467188517,0.8195635651276981,0.4558352492680147,0.6850399889956572,0.07267340415515765,0.8218460768339031,0.7567,0.9317,0.04619231872558594,0.8402009047983514,0.5739,0.7785,0.021201824951171882,0.7811619579862974,0.22738095238095238,0.4107142857142857,0.11316394351777574,0.7568182826579755,0.19316902289503315,0.3782059301889153,0.15782475170229518,0.7249378744505515,0.2732313987294067,0.4242489501453645,0.2063400130540444,0.7688249777305161,0.42643329408568065,0.6174599221085046,0.10164241239694395,0.7984247651520252,0.471623468529143,0.6740129304887351,0.11373912586984111,0.7787890708240351
