value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
X=0.000 Y=-1.000 Z=0.200;165;0.3090909090909091;0.6181818181818182;154;0.4805194805194805
X=0.000 Y=0.000 Z=0.400;160;0.09375;0.2;149;0.12751677852348994
X=0.000 Y=1.000 Z=0.200;159;0.2893081761006289;0.5471698113207547;148;0.4391891891891892
X=1.000 Y=0.000 Z=0.200;159;0.22641509433962265;0.46540880503144655;148;0.3581081081081081
X=-1.000 Y=0.000 Z=0.200;157;0.4140127388535032;0.6305732484076433;146;0.541095890410959
