value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
(R=0.000000,G=0.000000,B=1.000000,A=0.000000);160;0.2375;0.45;149;0.3221476510067114
(R=0.000000,G=1.000000,B=0.000000,A=0.000000);160;0.26875;0.49375;149;0.348993288590604
(R=0.050000,G=0.050000,B=0.050000,A=0.000000);160;0.34375;0.55625;149;0.436241610738255
(R=1.000000,G=0.000000,B=0.000000,A=0.000000);160;0.29375;0.4875;149;0.4161073825503356
(R=1.000000,G=1.000000,B=0.000000,A=0.000000);160;0.29375;0.54375;149;0.4228187919463087
(R=1.000000,G=1.000000,B=1.000000,A=0.000000);160;0.3625;0.5625;149;0.47651006711409394
