Model;IN1k Top1;ShapeNet Top1;AUROC IN1k;ECE IN1k
DINOv3-L-KNN;0.36632053046415614;0.48643202579258465;0.8084079777105282;0.10423531965209862
CLIP-L-IN1K-KNN;0.3231577630426623;0.4257119828049436;0.7553704264267359;0.30016748045265756
DINOv2-L-KNN;0.3090203928437383;0.44613111230521224;0.7837107392640712;0.19801544425753886
CLIP-L-IN1K-LOGITS;0.30514199924934315;0.4055615260612574;0.7771903439236049;0.20782831125916823
DINOv2-L-IN1K-KNN;0.2985111972976354;0.42557764642665236;0.8309147902327215;0.11059731225605814
DINOv2-L-IN1K-LOGITS;0.2982609783560616;0.41980118216012896;0.7918314779937804;0.062163688118461076
DINOv2-B-IN1K-LINEAR_PROBE;0.26810959589640937;0.36673831273508867;0.8219644160474772;0.261214116272575
DINOv2-B-KNN;0.2637307644188665;0.37963460505104785;0.8044276446566787;0.21895763278939648
CLIP-B-IN1K-LINEAR_PROBE;0.26122857500312774;0.33704997313272433;0.8428844637799644;0.24983768598139253
Hiera_L-IN1K-KNN;0.24158638808957839;0.32885545405695865;0.7222238833281707;0.3635911087391449
DINOv2-B-IN1K-LOGITS;0.2397097460277743;0.3616335303600215;0.8168517937684201;0.1310403652756709
DINOv2-B-IN1K-KNN;0.23845865131990493;0.3440354648038689;0.8317315159636133;0.13829422665320187
CLIP-B-IN1K-KNN;0.234204929313149;0.31783987103707684;0.7933006048254782;0.2771451994338621
CLIP-B-IN1K-LOGITS;0.23007631677718005;0.3103170338527673;0.7677900358091918;0.26606409728385383
Hiera_L-IN1K-LOGITS;0.2287001125985237;0.3050779150994089;0.7285985241738407;0.1896128392586433
Swin-L-IN1K-LOGITS;0.2183160265232078;0.30722729715206876;0.7366634686996687;0.17494032711972585
Swin-B-IN1K-LINEAR_PROBE;0.2073063930939572;0.28653949489521763;0.7929837755954233;0.19958974590618125
Swin-L-KNN;0.20530464156136619;0.28398710370768404;0.7865102106444279;0.28462230803319843
Swin-L-IN1K-KNN;0.20530464156136619;0.28398710370768404;0.7865102106444279;0.28462230803319843
Swin-S-IN1K-KNN;0.20367821844113598;0.27512090274046214;0.7473965520901892;0.25973146556074145
DINOv2-S-KNN;0.20355310897034906;0.2997044599677593;0.7847108013318296;0.17522569516100187
Hiera_B-KNN;0.20117602902539722;0.2626276195593767;0.7137410539315949;0.3365180007120657
Swin-B-IN1K-KNN;0.20030026272988866;0.27565824825362706;0.7361737208206073;0.2878307045330083
Swin-S-IN1K-LOGITS;0.19704741648942825;0.26679204728640515;0.7710642191851291;0.1336545606556127
Swin-B-IN1K-LOGITS;0.19316902289503315;0.2752552391187534;0.7249378744505515;0.15782475170229518
Hiera_S-IN1K-KNN;0.185287126235456;0.23858140784524448;0.730795284496331;0.3098728338751211
DINOv2-S-IN1K-LOGITS;0.185287126235456;0.28465878559914026;0.7955724911118227;0.16882724349137526
DINOv2-S-IN1K-KNN;0.18015763793319153;0.2686727565824825;0.7966307840344541;0.1437228334631622
Hiera_B-LOGITS;0.17665457275115726;0.23750671681891455;0.7166965011732205;0.24046436215795267
Swin-B-KNN;0.17377705492305767;0.24328318108543795;0.6921801434564823;0.388818215184034
ViT-L-IN1K-KNN;0.16889778556236706;0.2243417517463729;0.7867148934272221;0.18756446921395134
Swin-S-KNN;0.16789690979607155;0.2408651262761956;0.7177794045515158;0.3556178334919112
Hiera_S-IN1K-LOGITS;0.1641436256724634;0.22125201504567438;0.7409928980435965;0.23817014318375748
CLIP-L-KNN;0.16389340673088953;0.23065556152606126;0.8242454079109236;0.08235866058350773
ViT-L-IN1K-LOGITS;0.15951457525334667;0.2223267060720043;0.7471599857567319;0.3016132482163348
DINOv3-S-KNN;0.14963092706117853;0.21977431488447072;0.7585641757159243;0.13960433614693218
ViT-B-IN1K-LOGITS;0.14775428499937446;0.2040569586243955;0.7352513470525441;0.3027581174696072
ViT-B-IN1K-KNN;0.13636932315776304;0.19438473938742612;0.7942321314891677;0.1843183017734904
ResNet-50-IN1K-LOGITS;0.10646815963968473;0.1621440085975282;0.7299213273395393;0.45278595058518
DINOv1-B-KNN;0.08845239584636556;0.1468296614723267;0.7852811829161427;0.16444076663592755
ResNet-50-KNN;0.08770173902164394;0.12869425040300914;0.8120736734529388;0.11088960389453434
ResNet-50-IN1K-KNN;0.08620042537220067;0.12385814078452445;0.7846242470873068;0.13052664239490402
CLIP-B-KNN;0.0843237833103966;0.1354110693175712;0.8111346306896849;0.12765859611296063
DINOv3-B-KNN;0.08157137495308395;0.12950026867275657;0.8861549930092605;0.09303634019887119
DINOv1-S-KNN;0.06968597522832479;0.12291778613648575;0.8001099508142734;0.1705512971097964
