rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_b__knn;CLIP-B-KNN;0.5263;0.7705;0.0;0;0;0;0.0
2;clip_b_in1k__knn;CLIP-B-IN1K-KNN;0.7408;0.8825;0.0;0;0;0;0.0
3;clip_b_in1k__linear_probe;CLIP-B-IN1K-LINEAR_PROBE;0.7373;0.9237;0.0;0;0;0;0.0
4;clip_b_in1k__logits;CLIP-B-IN1K-LOGITS;0.7571;0.9293;0.0;0;0;0;0.0
5;dinov1_b__knn;DINOv1-B-KNN;0.5722;0.7954;0.0;0;0;0;0.0
6;dinov2_b__knn;DINOv2-B-KNN;0.6952;0.8669;0.0;0;0;0;0.0
7;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.6863;0.8763;0.0;0;0;0;0.0
8;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.6826;0.8944;0.0;0;0;0;0.0
9;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.7652;0.9291;0.0;0;0;0;0.0
10;dinov3_b__knn;DINOv3-B-KNN;0.5383;0.7683;0.0;0;0;0;0.0
11;hiera_b_in1k__knn;Hiera_B-KNN;0.7333;0.8707;0.0;0;0;0;0.0
12;hiera_b_in1k__logits;Hiera_B-LOGITS;0.7482;0.9187;0.0;0;0;0;0.0
13;swin_b__knn;Swin-B-KNN;0.7146;0.8534;0.0;0;0;0;0.0
14;swin_b_in1k__knn;Swin-B-IN1K-KNN;0.7299;0.8829;0.0;0;0;0;0.0
15;swin_b_in1k__linear_probe;Swin-B-IN1K-LINEAR_PROBE;0.735;0.9266;0.0;0;0;0;0.0
16;swin_b_in1k__logits;Swin-B-IN1K-LOGITS;0.7567;0.9317;0.0;0;0;0;0.0
17;vit_b_in1k__knn;ViT-B-IN1K-KNN;0.6521;0.824;0.0;0;0;0;0.0
18;vit_b_in1k__logits;ViT-B-IN1K-LOGITS;0.6839;0.8843;0.0;0;0;0;0.0
