rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov2_b__knn;DINOv2-B-KNN;0.6952;0.8669;0.0;0;0;0;0.0
2;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.6863;0.8763;0.0;0;0;0;0.0
3;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.6826;0.8944;0.0;0;0;0;0.0
4;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.7652;0.9291;0.0;0;0;0;0.0
5;dinov2_l__knn;DINOv2-L-KNN;0.7127;0.8749;0.0;0;0;0;0.0
6;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.7115;0.886;0.0;0;0;0;0.0
7;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.7844;0.9401;0.0;0;0;0;0.0
8;dinov2_s__knn;DINOv2-S-KNN;0.6412;0.8483;0.0;0;0;0;0.0
9;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.6369;0.8525;0.0;0;0;0;0.0
10;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.7297;0.9115;0.0;0;0;0;0.0
