Model;IN1k Top1;ShapeNet Top1;AUROC IN1k;ECE IN1k
CLIP-L-IN1K-KNN;0.8886;0;0.841528501251237;0.02371200392246244
CLIP-L-IN1K-LOGITS;0.887;0;0.853359140385709;0.06201756591796875
DINOv2-L-IN1K-LOGITS;0.873;0;0.8485037566180516;0.05004957275390622
Hiera_L-IN1K-KNN;0.8718;0;0.8453059801676307;0.02126481339931483
Swin-L-IN1K-LOGITS;0.868;0;0.8645349811478844;0.05884635620117189
Swin-B-IN1K-LINEAR_PROBE;0.8668;0;0.7917745849217931;0.7748549631100614
CLIP-B-IN1K-LINEAR_PROBE;0.8666;0;0.7762566904869743;0.8016792848351411
Hiera_L-IN1K-LOGITS;0.8652;0;0.8625461463430695;0.08946596679687498
CLIP-B-IN1K-LOGITS;0.8636;0;0.8522443729379438;0.0559790283203125
Swin-L-IN1K-KNN;0.8628;0;0.8709696276682737;0.022640992689132743
Swin-L-KNN;0.8628;0;0.8709696276682737;0.022640992689132743
Swin-B-IN1K-LOGITS;0.8574;0;0.8619689455482196;0.08477280273437503
CLIP-B-IN1K-KNN;0.8572;0;0.8536528937286533;0.02072516765743493
Hiera_B-KNN;0.8546;0;0.8567253645696354;0.01874984704554082
Hiera_B-LOGITS;0.8542;0;0.8504226192598245;0.09245815429687503
Swin-B-IN1K-KNN;0.8542;0;0.8674035083324259;0.01754898286461825
DINOv2-B-IN1K-LOGITS;0.8526;0;0.8693021680669646;0.022019458007812482
Swin-B-KNN;0.8486;0;0.8475401710673668;0.021317422550916655
Hiera_S-IN1K-LOGITS;0.8432;0;0.8548452142953955;0.07768035888671876
DINOv3-L-KNN;0.8402;0;0.8750026440453567;0.016807996962964533
Swin-S-KNN;0.8396;0;0.8556544560466391;0.023455779726803246
Hiera_S-IN1K-KNN;0.8396;0;0.8707838253342346;0.020090044496953483
Swin-S-IN1K-LOGITS;0.8374;0;0.8762189592280447;0.07576788330078124
ViT-L-IN1K-LOGITS;0.8334;0;0.8758472431449181;0.040063983154296906
DINOv2-S-IN1K-LOGITS;0.8274;0;0.8709561090024707;0.02648446044921879
Swin-S-IN1K-KNN;0.826;0;0.8704987336840055;0.02377574611753226
DINOv2-L-IN1K-KNN;0.8248;0;0.8602763531438644;0.04018719330430033
DINOv2-B-IN1K-KNN;0.8148;0;0.8653519500472363;0.045193841579556436
ViT-B-IN1K-LOGITS;0.8148;0;0.8741514964517125;0.03591307983398442
DINOv2-B-IN1K-LINEAR_PROBE;0.8134;0;0.7664534376102744;0.7644826514730696
ViT-L-IN1K-KNN;0.8132;0;0.8773460598202464;0.03551904863119125
DINOv2-L-KNN;0.8124;0;0.8603243541734249;0.021639989842474457
ResNet-50-IN1K-LOGITS;0.8114;0;0.8764573282474473;0.08085329589843746
DINOv2-B-KNN;0.8032;0;0.869112725925566;0.01859879804998635
DINOv3-B-KNN;0.7958;0;0.871083472264649;0.03607970865368839
ViT-B-IN1K-KNN;0.7942;0;0.8671380629094463;0.045513118313252915
ResNet-50-IN1K-KNN;0.7864;0;0.8868279477712879;0.052649451170861755
DINOv2-S-IN1K-KNN;0.7692;0;0.8594696734143197;0.058047338616848014
DINOv2-S-KNN;0.769;0;0.866435974082268;0.03529587222784758
CLIP-L-KNN;0.7572;0;0.8511430302049255;0.11009251850843424
DINOv3-S-KNN;0.7422;0;0.86025505704112;0.07417097290158274
DINOv1-B-KNN;0.7236;0;0.8608517150539312;0.056849563363194466
DINOv1-S-KNN;0.7052;0;0.8617553956613057;0.05639870785474778
CLIP-B-KNN;0.6886;0;0.835840071661601;0.12149080403149129
ResNet-50-KNN;0.0538;0;0.9694390946686374;0.013301228381693363
