rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov1_s__knn;DINOv1-S-KNN;0.68634;0.8743;0.0;0;0;0;0.0
2;dinov2_s__knn;DINOv2-S-KNN;0.76108;0.92304;0.0;0;0;0;0.0
3;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.76286;0.92914;0.0;0;0;0;0.0
4;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.82094;0.95886;0.0;0;0;0;0.0
5;dinov3_s__knn;DINOv3-S-KNN;0.72574;0.90478;0.0;0;0;0;0.0
6;hiera_s_in1k__knn;Hiera_S-IN1K-KNN;0.83308;0.94184;0.0;0;0;0;0.0
7;hiera_s_in1k__logits;Hiera_S-IN1K-LOGITS;0.83886;0.96682;0.0;0;0;0;0.0
8;swin_s__knn;Swin-S-KNN;0.8279;0.93702;0.0;0;0;0;0.0
9;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.8191;0.9465;0.0;0;0;0;0.0
10;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.83314;0.96986;0.0;0;0;0;0.0
