value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
stove-2;50;0.04;0.18;50;0.04
stove-3;50;0.66;0.92;50;0.66
table-lamp-1;50;0.8;0.8;50;0.8
table-lamp-2;50;0.42;0.48;50;0.42
table-lamp-3;50;0.02;0.8;50;0.02
toilet-seat-1;50;0.94;1.0;50;0.94
trash-can-1;50;0.7;0.8;50;0.7
yawl-1;50;0.0;0.66;50;0.76
washer-3;50;0.16;0.6;50;0.16
upright-piano-2;50;0.2;0.68;50;0.62
vase-2;50;0.0;0.8;50;0.0
vase-3;50;0.0;0.72;50;0.0
washer-2;50;0.26;0.36;50;0.26
washer-1;50;0.16;0.38;50;0.16
wall-clock-2;50;0.18;0.2;50;0.2
wine-bottle-1;50;0.76;0.84;50;0.76
earphone-1;49;0.0;0.0;0;
missile-1;49;0.9183673469387755;1.0;49;0.9183673469387755
printer-3;49;0.2653061224489796;0.3469387755102041;49;0.2653061224489796
remote-1;49;0.20408163265306123;0.20408163265306123;49;0.20408163265306123
wall-clock-1;49;0.1836734693877551;0.42857142857142855;49;0.3469387755102041
trash-can-3;49;0.5102040816326531;0.7959183673469388;49;0.5102040816326531
vase-1;49;0.0;0.7959183673469388;49;0.0
