value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
(R=0.000000,G=0.000000,B=1.000000,A=0.000000);160;0.30625;0.54375;149;0.436241610738255
(R=0.000000,G=1.000000,B=0.000000,A=0.000000);160;0.31875;0.5625;149;0.436241610738255
(R=0.050000,G=0.050000,B=0.050000,A=0.000000);160;0.34375;0.59375;149;0.4697986577181208
(R=1.000000,G=0.000000,B=0.000000,A=0.000000);160;0.31875;0.56875;149;0.4563758389261745
(R=1.000000,G=1.000000,B=0.000000,A=0.000000);160;0.33125;0.58125;149;0.46308724832214765
(R=1.000000,G=1.000000,B=1.000000,A=0.000000);160;0.31875;0.58125;149;0.4563758389261745
