Model,imagenet-1k,imagenet-9,imagenet-a,imagenet-c,imagenet-d,imagenet-hard,imagenet-mini,imagenet-r,imagenet-sketch,imagenet-v2,tiny-imagenet,normal_dataset,plastic_dataset,objectnet,PUG_ImageNet,Mean,Std
ResNet-50-IN1K-LOGITS,0.08636966735839846,0.13145603956999602,0.4799868495496548,0.12454661499103747,0.531459671856822,0.3724510901612662,0.08085329589843746,0.3212566520690918,0.2813803431734253,0.13923202514648436,0.2830960144042969,0.4495407558622815,0.45278595058518,0.3518594409313759,0.2781967033176856,0.2909647409916955,0.15086631132727063
ViT-L-IN1K-LOGITS,0.045926558532714844,0.10845368679658868,0.34873480218075437,0.07064747212460167,0.3803735174831955,0.2959297805535989,0.040063983154296906,0.20038928578694662,0.17874543761337483,0.09438072814941406,0.10695220031738284,0.26418547857375374,0.3016132482163348,0.34536605560575473,0.23104398965986733,0.20085374831657202,0.11804492920042693
ViT-B-IN1K-LOGITS,0.041356833190918006,0.11158279913443105,0.3372427012472766,0.07854616327868011,0.36908022575812355,0.2860169124082138,0.03591307983398442,0.19315079905192056,0.16859905846581952,0.08463894653320314,0.11920516891479489,0.2457732745579311,0.3027581174696072,0.3358480314450075,0.21748737631992046,0.1951466325073221,0.11383380692723137
Hiera_S-IN1K-LOGITS,0.07313909423828127,0.03875748392976361,0.24188009859583043,0.07301016644969736,0.3080747933767451,0.19484457352990878,0.07768035888671876,0.12896819410324098,0.11250902900889952,0.03576241149902341,0.08098717041015625,0.17496529533749539,0.23817014318375748,0.22595774540799013,0.11574404892439041,0.14136337379212663,0.08399107797808453
Hiera_B-LOGITS,0.08430638702392579,0.04328488114439413,0.20817618597850698,0.09192264499383225,0.2972837998430633,0.1985169957895748,0.09245815429687503,0.1296560236930847,0.12482960070621835,0.05060808258056641,0.0657640808105469,0.18297281265258789,0.24046436215795267,0.21393941906177025,0.0934516311436824,0.14117567079177212,0.0771035982944882
CLIP-B-IN1K-LOGITS,0.04770099792480475,0.04530913953427916,0.23265550823459244,0.0191888865412662,0.30879678814956046,0.24718276338281958,0.0559790283203125,0.06317592010498047,0.05369942122062886,0.026577078247070313,0.05542513275146483,0.23124522254580543,0.26606409728385383,0.25765231146781115,0.09911461194327492,0.1339844605101683,0.10699198291026529
Hiera_L-IN1K-LOGITS,0.08229372070312498,0.04996951235665217,0.14763673108280959,0.10517292806886372,0.2880143805644874,0.1890292975420509,0.08946596679687498,0.10493766721089678,0.10220205424733302,0.048989263916015664,0.0388043731689453,0.10573793819972448,0.1896128392586433,0.23641374065735576,0.08081951474767694,0.12393999523476366,0.07236738207632099
DINOv2-S-IN1K-LOGITS,0.013035166625976586,0.07911946143633053,0.14683333225523343,0.04089361444413031,0.29790311732484487,0.22962367990629268,0.02648446044921879,0.08744371337890626,0.09113907483728372,0.027308831787109356,0.11544421997070314,0.156964719863165,0.16882724349137526,0.22301005608583405,0.09050689474761771,0.11963583910693479,0.0837672186938139
Swin-L-IN1K-LOGITS,0.053425932006835916,0.0515541694782398,0.14635362271625774,0.0552301476452476,0.28380172713712676,0.19729481889901918,0.05884635620117189,0.09188503850301105,0.0845285025963947,0.028258520507812513,0.03594919586181643,0.11990111214773995,0.17494032711972585,0.21808308970752335,0.1107853769489458,0.11405586249845788,0.07572281355257443
Swin-B-IN1K-LOGITS,0.08230313171386722,0.04481992865786141,0.16980380468318762,0.07766571406555177,0.25938694824723696,0.1895935447706768,0.08477280273437503,0.07870234467188517,0.07267340415515765,0.04619231872558594,0.021201824951171882,0.11316394351777574,0.15782475170229518,0.2063400130540444,0.10164241239694395,0.11373912586984113,0.06797776233335105
Swin-S-IN1K-LOGITS,0.07018583984374999,0.04217597252056923,0.1901541809057529,0.06926432203674315,0.2527943213698536,0.18843568548261577,0.07576788330078124,0.10079082431793211,0.07205255675923512,0.038628172302246105,0.035044738769531264,0.11289606094360352,0.1336545606556127,0.19761947133998842,0.10351319300524836,0.11219851890356423,0.06678071091588582
CLIP-L-IN1K-LOGITS,0.05206935180664063,0.044975188337726374,0.1445459431949811,0.024618439155980172,0.2994519964492309,0.2189469870756667,0.06201756591796875,0.023490371004740388,0.022134029885644963,0.030829077148437543,0.02102063598632814,0.19203402201334635,0.20782831125916823,0.24524066095731095,0.06775837188159607,0.11046406347165115,0.09706119774060624
DINOv2-B-IN1K-LOGITS,0.014695703735351515,0.041447598021707444,0.0690925605291027,0.010064899240594144,0.30137628281128814,0.19809042508484886,0.022019458007812482,0.03854704691569011,0.05842182093682911,0.015640939331054704,0.06535049438476563,0.10405792054675875,0.1310403652756709,0.22171285528020937,0.05123729997760477,0.08951971133861925,0.0871576554583607
DINOv2-L-IN1K-LOGITS,0.03522655761718749,0.017040913899739555,0.04099569852837403,0.017474661054109303,0.2391296828545114,0.1457748176838748,0.05004957275390622,0.030881897989908872,0.02687879335732933,0.022183840942382852,0.04651767730712893,0.03093811216808502,0.062163688118461076,0.20344214030175747,0.025624331265361316,0.06628815905614119,0.0705806307454687
