Model,imagenet-1k,imagenet-9,imagenet-a,imagenet-c,imagenet-d,imagenet-hard,imagenet-mini,imagenet-r,imagenet-sketch,imagenet-v2,tiny-imagenet,normal_dataset,plastic_dataset,objectnet,PUG_ImageNet,Mean,Std
DINOv2-L-IN1K-LOGITS,0.97548,0.7607716049382716,0.8346045764753112,0.9306094736842105,0.5706308169596691,0.6549180327868852,0.9804,0.7920333333333334,0.8348759063844838,0.9401,0.8641,0.5976190476190476,0.5232078068309771,0.48013351997415743,0.7000498143284123,0.7626355955543173,0.16706356288706675
CLIP-L-IN1K-LOGITS,0.98236,0.7202777777777778,0.6833935501137428,0.8761745263157895,0.6421923474663909,0.6122950819672132,0.9854,0.8302666666666667,0.8656094637347953,0.946,0.7778,0.5580357142857143,0.5093206555736269,0.4745342952514267,0.7211076895208768,0.7456511845782681,0.16721152165029746
DINOv2-B-IN1K-LOGITS,0.96886,0.7238580246913581,0.7693028234979259,0.8848421052631579,0.5199586349534643,0.5801457194899818,0.9718,0.7107,0.7784983002220519,0.9291,0.8326,0.518154761904762,0.4567746778431127,0.437816302358135,0.6130672040576035,0.7130319036187702,0.18415870631915848
Swin-L-IN1K-LOGITS,0.97894,0.7286111111111111,0.6951692760604844,0.8890917894736842,0.6318510858324715,0.5659380692167577,0.9814,0.6547333333333333,0.713670930849496,0.939,0.8052,0.45535714285714285,0.40010008757662957,0.45224507375901796,0.6558395978625124,0.7031431665288426,0.1889078646262063
Hiera_L-IN1K-LOGITS,0.9765,0.7236419753086419,0.6500735982871672,0.8787416842105263,0.5975180972078593,0.5648451730418943,0.979,0.6059666666666667,0.663109905873568,0.9323,0.7705,0.44285714285714284,0.41060928312273237,0.437816302358135,0.664998641427407,0.6865652313574493,0.18979818417194488
CLIP-B-IN1K-LOGITS,0.9759,0.7007098765432099,0.5261608457112271,0.8426652631578947,0.6045501551189245,0.5428961748633879,0.9794,0.6980666666666666,0.7906423785100906,0.9293,0.7705,0.44910714285714287,0.40072563493056423,0.42812533649187035,0.6574925278507382,0.686416133513448,0.19453005164257975
Swin-B-IN1K-LOGITS,0.9757,0.7094753086419753,0.6101967081493376,0.8683953684210526,0.598965873836608,0.5320582877959927,0.9814,0.6081333333333333,0.6850399889956572,0.9317,0.7785,0.4107142857142857,0.3782059301889153,0.4242489501453645,0.6174599221085046,0.6740129304887351,0.19974802691872678
Swin-S-IN1K-LOGITS,0.96986,0.7008641975308642,0.5372674963200856,0.8455993684210527,0.5937952430196484,0.4934426229508197,0.9736,0.5548666666666666,0.6454440055807739,0.9233,0.746,0.4056547619047619,0.3704491430001251,0.41461182297835686,0.6022325876279323,0.6517991944000724,0.20296472279741726
DINOv2-S-IN1K-LOGITS,0.95886,0.6825925925925926,0.6281279272046032,0.807797052631579,0.5001034126163392,0.48515482695810563,0.9618,0.6106666666666667,0.6889504608068542,0.9115,0.7458,0.44434523809523807,0.3905917677968222,0.3777861526865511,0.5471537904175346,0.6494153258981925,0.19704612901526683
Hiera_B-LOGITS,0.97034,0.7029938271604939,0.5183995717917838,0.8398621052631579,0.5466390899689763,0.5110200364298725,0.9726,0.5377666666666666,0.6069484564444182,0.9187,0.7138,0.3827380952380952,0.35118228449893657,0.4075051146764294,0.6110972737976632,0.6394395014624327,0.20752748354212158
Hiera_S-IN1K-LOGITS,0.96682,0.6946604938271604,0.4521611133413622,0.8203054736842105,0.5079627714581179,0.4802367941712204,0.9704,0.5022333333333333,0.5750358623671127,0.9132,0.6996,0.3636904761904762,0.31490053797072437,0.3843544739959083,0.5804388189475591,0.6150666766191457,0.21920619478330042
ViT-L-IN1K-LOGITS,0.96002,0.6826234567901235,0.3389535661715509,0.8480058947368421,0.46804550155118924,0.4931693989071038,0.9678,0.5092666666666666,0.6328676138261707,0.8937,0.8034,0.31934523809523807,0.34267484048542474,0.3072036179605901,0.5114233312199982,0.6052332750940598,0.23983431013056725
ViT-B-IN1K-LOGITS,0.95486,0.6706481481481481,0.3005486417770641,0.8071061052631578,0.459358841778697,0.4536429872495446,0.9648,0.47573333333333334,0.5734441627856708,0.8843,0.766,0.29583333333333334,0.31052170649318156,0.2794766878432217,0.4783647314554841,0.578309245297389,0.24626903636880967
ResNet-50-IN1K-LOGITS,0.94566,0.6562345679012346,0.16927606048441055,0.7014496842105263,0.3476732161323681,0.3909836065573771,0.9488,0.41013333333333335,0.4670557487865747,0.8759,0.5643,0.26875,0.2509695983985988,0.3214170345644449,0.4915768499230142,0.5206786466861255,0.2542678441306934
