Model,imagenet-1k,imagenet-9,imagenet-a,imagenet-c,imagenet-d,imagenet-hard,imagenet-mini,imagenet-r,imagenet-sketch,imagenet-v2,tiny-imagenet,normal_dataset,plastic_dataset,objectnet,PUG_ImageNet,Mean,Std
DINOv2-L-IN1K-LOGITS,0.85898,0.6105246913580247,0.6179579820687809,0.7786231578947368,0.2467425025853154,0.3941712204007286,0.873,0.6335333333333333,0.6238086816404331,0.7844,0.7279,0.37648809523809523,0.2982609783560616,0.3325616453106493,0.5199936599945657,0.5784630632120483,0.20790095289433042
CLIP-L-IN1K-LOGITS,0.8729,0.5538888888888889,0.38351398367456174,0.6962690526315789,0.25811789038262667,0.32285974499089254,0.887,0.6421333333333333,0.6482343925013264,0.7856,0.5791,0.3392857142857143,0.30514199924934315,0.3327231614084204,0.5430327868852459,0.5433200632154621,0.2119949014277225
DINOv2-B-IN1K-LOGITS,0.84522,0.5704938271604938,0.5341897497658237,0.7094583157894737,0.19607032057911064,0.3121129326047359,0.8526,0.5355333333333333,0.5497848257973236,0.7652,0.659,0.28095238095238095,0.2397097460277743,0.2920749434693658,0.4328865139027262,0.5183524592921694,0.22022073882755566
Swin-L-IN1K-LOGITS,0.8632,0.5770987654320988,0.38485213435032783,0.7106082105263158,0.21323681489141674,0.3115664845173042,0.868,0.4760333333333333,0.4899880131266089,0.7706,0.6047,0.26398809523809524,0.2183160265232078,0.2999892322601486,0.4631940041662893,0.5010247409576764,0.22518078947064704
Hiera_L-IN1K-LOGITS,0.86044,0.5646604938271605,0.3623712029974575,0.7060926315789474,0.22771458117890384,0.325591985428051,0.8652,0.4372666666666667,0.45797716598872057,0.7717,0.5672,0.2467261904761905,0.2287001125985237,0.29762032949283945,0.4826555565619056,0.49346112778635765,0.22294277863814554
CLIP-B-IN1K-LOGITS,0.85498,0.5408950617283951,0.24421249832731165,0.6507168421052631,0.21447776628748708,0.2638433515482696,0.8636,0.5109,0.5543044665841341,0.7571,0.5663,0.2586309523809524,0.23007631677718005,0.2919134273715947,0.4787270174803007,0.4853785133727259,0.22843431815634785
Swin-B-IN1K-LOGITS,0.8528,0.5529320987654321,0.3061688746152817,0.6805016842105264,0.21054808686659773,0.2715846994535519,0.8574,0.4357666666666667,0.4558352492680147,0.7567,0.5739,0.22738095238095238,0.19316902289503315,0.2732313987294067,0.42643329408568065,0.47162346852914294,0.23172772129184582
Hiera_B-LOGITS,0.84486,0.5423456790123456,0.24916365582764619,0.6531858947368421,0.18386763185108584,0.2754098360655738,0.8542,0.3796333333333333,0.3993397394328833,0.7482,0.4874,0.20327380952380952,0.17665457275115726,0.26585549693119415,0.4266257585363645,0.446001027200149,0.2357957399315102
Swin-S-IN1K-LOGITS,0.83314,0.536820987654321,0.2513046969088719,0.6456818947368421,0.1997931747673216,0.2355191256830601,0.8374,0.3827333333333333,0.4159052054471497,0.7376,0.5188,0.2154761904761905,0.19704741648942825,0.2649402390438247,0.40857938592518794,0.44538277669770204,0.22968200362749103
DINOv2-S-IN1K-LOGITS,0.82094,0.5191666666666667,0.36852669610598154,0.6046465263157895,0.18407445708376421,0.22987249544626595,0.8274,0.4271,0.4463636542278292,0.7297,0.5176,0.20684523809523808,0.185287126235456,0.23850543770862495,0.3637464903541346,0.44465165254931666,0.22341735506918517
Hiera_S-IN1K-LOGITS,0.83886,0.5320679012345679,0.19590525893215577,0.629154947368421,0.15553257497414685,0.2600182149362477,0.8432,0.34726666666666667,0.37756686120772665,0.7355,0.4796,0.18958333333333333,0.1641436256724634,0.24281253364918703,0.39152929988225704,0.4255160811904782,0.24158547804791136
ViT-L-IN1K-LOGITS,0.81974,0.5186111111111111,0.149605245550649,0.6527863157894737,0.16339193381592554,0.25482695810564665,0.8334,0.3575,0.40368252471064475,0.6952,0.6145,0.15833333333333333,0.15951457525334667,0.17659093356304512,0.3408318992844851,0.41990098870117737,0.2507736201640056
ViT-B-IN1K-LOGITS,0.80332,0.5050925925925925,0.12980061554931085,0.6057911578947368,0.15842812823164426,0.22404371584699453,0.8148,0.32816666666666666,0.354379138910177,0.6839,0.5725,0.14583333333333334,0.14775428499937446,0.15279422849143964,0.31402273344805726,0.39604177306428845,0.24850106682069997
ResNet-50-IN1K-LOGITS,0.80364,0.5047530864197531,0.04308845175966814,0.5048553684210526,0.09017580144777664,0.1924408014571949,0.8114,0.2771,0.2965277368390025,0.6889,0.3519,0.12113095238095238,0.10646815963968473,0.1954344783030042,0.3260461008966579,0.35425739583764987,0.2552376827547393
