Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,CLIP-L-IN1K-LOGITS,clip_l_in1k__logits,0.7856,0.946,0.030829077148437543,0.8374607795733654,7856,0.543320063215462
2,DINOv2-L-IN1K-LOGITS,dinov2_l_in1k__logits,0.7844,0.9401,0.022183840942382852,0.8475063128028087,7844,0.5784630632120482
3,Hiera_L-IN1K-LOGITS,hiera_l_in1k__logits,0.7717,0.9323,0.048989263916015664,0.8300329420440369,7717,0.49346112778635765
4,Swin-L-IN1K-LOGITS,swin_l_in1k__logits,0.7706,0.939,0.028258520507812513,0.8449591810274311,7706,0.5010247409576764
5,DINOv2-B-IN1K-LOGITS,dinov2_b_in1k__logits,0.7652,0.9291,0.015640939331054704,0.8563720745085852,7652,0.5183524592921694
6,CLIP-B-IN1K-LOGITS,clip_b_in1k__logits,0.7571,0.9293,0.026577078247070313,0.8363317177596752,7571,0.4853785133727259
7,Swin-B-IN1K-LOGITS,swin_b_in1k__logits,0.7567,0.9317,0.04619231872558594,0.8402009047983514,7567,0.471623468529143
8,Hiera_B-LOGITS,hiera_b_in1k__logits,0.7482,0.9187,0.05060808258056641,0.8365062382176849,7482,0.446001027200149
9,Swin-S-IN1K-LOGITS,swin_s_in1k__logits,0.7376,0.9233,0.038628172302246105,0.842266194372983,7376,0.44538277669770204
10,Hiera_S-IN1K-LOGITS,hiera_s_in1k__logits,0.7355,0.9132,0.03576241149902341,0.8325313207198014,7355,0.4255160811904782
11,DINOv2-S-IN1K-LOGITS,dinov2_s_in1k__logits,0.7297,0.9115,0.027308831787109356,0.8535666393950332,7297,0.44465165254931677
12,ViT-L-IN1K-LOGITS,vit_l_in1k__logits,0.6952,0.8937,0.09438072814941406,0.8549140582290563,6952,0.41990098870117737
13,ResNet-50-IN1K-LOGITS,resnet50_in1k__logits,0.6889,0.8759,0.13923202514648436,0.8590610423009789,6889,0.35425739583764987
14,ViT-B-IN1K-LOGITS,vit_b_in1k__logits,0.6839,0.8843,0.08463894653320314,0.8571522011738416,6839,0.39604177306428845
