Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,CLIP-L-IN1K-LOGITS,clip_l_in1k__logits,0.6421333333333333,0.8302666666666667,0.023490371004740388,0.8042592666266135,19264,0.543320063215462
2,DINOv2-L-IN1K-LOGITS,dinov2_l_in1k__logits,0.6335333333333333,0.7920333333333334,0.030881897989908872,0.851816434709367,19006,0.5784630632120482
3,DINOv2-B-IN1K-LOGITS,dinov2_b_in1k__logits,0.5355333333333333,0.7107,0.03854704691569011,0.8464148828024973,16066,0.5183524592921694
4,CLIP-B-IN1K-LOGITS,clip_b_in1k__logits,0.5109,0.6980666666666666,0.06317592010498047,0.8103008362583123,15327,0.4853785133727259
5,Swin-L-IN1K-LOGITS,swin_l_in1k__logits,0.4760333333333333,0.6547333333333333,0.09188503850301105,0.8222942825537923,14281,0.5010247409576764
6,Hiera_L-IN1K-LOGITS,hiera_l_in1k__logits,0.4372666666666667,0.6059666666666667,0.10493766721089678,0.8072418388571208,13118,0.49346112778635765
7,Swin-B-IN1K-LOGITS,swin_b_in1k__logits,0.4357666666666667,0.6081333333333333,0.07870234467188517,0.8195635651276981,13073,0.471623468529143
8,DINOv2-S-IN1K-LOGITS,dinov2_s_in1k__logits,0.4271,0.6106666666666667,0.08744371337890626,0.8476559471914776,12813,0.44465165254931677
9,Swin-S-IN1K-LOGITS,swin_s_in1k__logits,0.3827333333333333,0.5548666666666666,0.10079082431793211,0.815852351268727,11482,0.44538277669770204
10,Hiera_B-LOGITS,hiera_b_in1k__logits,0.3796333333333333,0.5377666666666666,0.1296560236930847,0.8121567420530863,11389,0.446001027200149
11,ViT-L-IN1K-LOGITS,vit_l_in1k__logits,0.3575,0.5092666666666666,0.20038928578694662,0.8285675262048802,10725,0.41990098870117737
12,Hiera_S-IN1K-LOGITS,hiera_s_in1k__logits,0.34726666666666667,0.5022333333333333,0.12896819410324098,0.8123231553089832,10418,0.4255160811904782
13,ViT-B-IN1K-LOGITS,vit_b_in1k__logits,0.32816666666666666,0.47573333333333334,0.19315079905192056,0.825430221522157,9845,0.39604177306428845
14,ResNet-50-IN1K-LOGITS,resnet50_in1k__logits,0.2771,0.41013333333333335,0.3212566520690918,0.823736967585332,8313,0.35425739583764987
