Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,CLIP-L-IN1K-LOGITS,clip_l_in1k__logits,0.887,0.9854,0.06201756591796875,0.853359140385709,4435,0.543320063215462
2,DINOv2-L-IN1K-LOGITS,dinov2_l_in1k__logits,0.873,0.9804,0.05004957275390622,0.8485037566180516,4365,0.5784630632120482
3,Swin-L-IN1K-LOGITS,swin_l_in1k__logits,0.868,0.9814,0.05884635620117189,0.8645349811478844,4340,0.5010247409576764
4,Hiera_L-IN1K-LOGITS,hiera_l_in1k__logits,0.8652,0.979,0.08946596679687498,0.8625461463430695,4326,0.49346112778635765
5,CLIP-B-IN1K-LOGITS,clip_b_in1k__logits,0.8636,0.9794,0.0559790283203125,0.8522443729379438,4318,0.4853785133727259
6,Swin-B-IN1K-LOGITS,swin_b_in1k__logits,0.8574,0.9814,0.08477280273437503,0.8619689455482196,4287,0.471623468529143
7,Hiera_B-LOGITS,hiera_b_in1k__logits,0.8542,0.9726,0.09245815429687503,0.8504226192598245,4271,0.446001027200149
8,DINOv2-B-IN1K-LOGITS,dinov2_b_in1k__logits,0.8526,0.9718,0.022019458007812482,0.8693021680669646,4263,0.5183524592921694
9,Hiera_S-IN1K-LOGITS,hiera_s_in1k__logits,0.8432,0.9704,0.07768035888671876,0.8548452142953955,4216,0.4255160811904782
10,Swin-S-IN1K-LOGITS,swin_s_in1k__logits,0.8374,0.9736,0.07576788330078124,0.8762189592280447,4187,0.44538277669770204
11,ViT-L-IN1K-LOGITS,vit_l_in1k__logits,0.8334,0.9678,0.040063983154296906,0.8758472431449181,4167,0.41990098870117737
12,DINOv2-S-IN1K-LOGITS,dinov2_s_in1k__logits,0.8274,0.9618,0.02648446044921879,0.8709561090024707,4137,0.44465165254931677
13,ViT-B-IN1K-LOGITS,vit_b_in1k__logits,0.8148,0.9648,0.03591307983398442,0.8741514964517125,4074,0.39604177306428845
14,ResNet-50-IN1K-LOGITS,resnet50_in1k__logits,0.8114,0.9488,0.08085329589843746,0.8764573282474473,4057,0.35425739583764987
