Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,DINOv2-L-IN1K-LOGITS,dinov2_l_in1k__logits,0.7279,0.8641,0.04651767730712893,0.8043695650428738,7279,0.5784630632120482
2,DINOv2-B-IN1K-LOGITS,dinov2_b_in1k__logits,0.659,0.8326,0.06535049438476563,0.8184677308104789,6590,0.5183524592921694
3,ViT-L-IN1K-LOGITS,vit_l_in1k__logits,0.6145,0.8034,0.10695220031738284,0.8116245215337514,6145,0.41990098870117737
4,Swin-L-IN1K-LOGITS,swin_l_in1k__logits,0.6047,0.8052,0.03594919586181643,0.7769207821470662,6047,0.5010247409576764
5,CLIP-L-IN1K-LOGITS,clip_l_in1k__logits,0.5791,0.7778,0.02102063598632814,0.7905239116629268,5791,0.543320063215462
6,Swin-B-IN1K-LOGITS,swin_b_in1k__logits,0.5739,0.7785,0.021201824951171882,0.7811619579862974,5739,0.471623468529143
7,ViT-B-IN1K-LOGITS,vit_b_in1k__logits,0.5725,0.766,0.11920516891479489,0.8166396486120688,5725,0.39604177306428845
8,Hiera_L-IN1K-LOGITS,hiera_l_in1k__logits,0.5672,0.7705,0.0388043731689453,0.7910111185992612,5672,0.49346112778635765
9,CLIP-B-IN1K-LOGITS,clip_b_in1k__logits,0.5663,0.7705,0.05542513275146483,0.8089713287197606,5663,0.4853785133727259
10,Swin-S-IN1K-LOGITS,swin_s_in1k__logits,0.5188,0.746,0.035044738769531264,0.7733647922086329,5188,0.44538277669770204
11,DINOv2-S-IN1K-LOGITS,dinov2_s_in1k__logits,0.5176,0.7458,0.11544421997070314,0.8080285196569958,5176,0.44465165254931677
12,Hiera_B-LOGITS,hiera_b_in1k__logits,0.4874,0.7138,0.0657640808105469,0.7773679397364504,4874,0.446001027200149
13,Hiera_S-IN1K-LOGITS,hiera_s_in1k__logits,0.4796,0.6996,0.08098717041015625,0.7805306625621274,4796,0.4255160811904782
14,ResNet-50-IN1K-LOGITS,resnet50_in1k__logits,0.3519,0.5643,0.2830960144042969,0.80304417060313,3519,0.35425739583764987
