,Level,Camera Position,Light Color (RGB),Fog,Material
clip_b_in1k,0.40585097670555115,0.12437275052070618,0.2742166221141815,0.19043947756290436,0.184784397482872
clip_b,0.6663926243782043,0.30058005452156067,0.5777170658111572,0.5025811195373535,0.3964847922325134
dinov2_b_in1k,0.9159212112426758,0.47770214080810547,0.5998397469520569,0.7607977986335754,0.4197554588317871
dinov2_b,0.41841921210289,0.12153424322605133,0.13606378436088562,0.2872121334075928,0.20622608065605164
dinov1_b,0.6263055801391602,0.2815232276916504,0.6309857964515686,0.6190282106399536,0.3924320638179779
dinov3_b,0.5626991391181946,0.1488037109375,0.22163458168506622,0.38839903473854065,0.2943670153617859
swin_b_in1k,0.6025443077087402,0.17515255510807037,0.49369490146636963,0.4739495515823364,0.18244794011116028
swin_b,0.5576706528663635,0.1664278656244278,0.4634780287742615,0.4327303469181061,0.20909877121448517
vit_b_in1k,0.6177820563316345,0.19277861714363098,0.39022842049598694,0.2782246768474579,0.20130372047424316
resnet50_in1k,0.6259765625,0.2373046875,0.3720703125,0.4150390625,0.1832275390625
resnet50,0.3046875,0.368408203125,0.1761474609375,0.6552734375,0.1627197265625
hiera_b_in1k,0.5347779393196106,0.20654825866222382,0.4008212983608246,0.4030119478702545,0.22488588094711304
dinov2_s_in1k,0.9226826429367065,0.5006539225578308,0.5931791663169861,0.8240721225738525,0.4236960709095001
dinov2_s,0.5307778716087341,0.17535725235939026,0.21685659885406494,0.3913988769054413,0.2996179461479187
dinov1_s,0.6269407272338867,0.2635999321937561,0.6154982447624207,0.6145021915435791,0.41982516646385193
dinov3_s,0.6492181420326233,0.21928651630878448,0.3886212706565857,0.5217284560203552,0.3676133453845978
swin_s_in1k,0.5883243083953857,0.17207558453083038,0.4572349190711975,0.5072572231292725,0.2033264935016632
swin_s,0.5928407311439514,0.18541890382766724,0.42849311232566833,0.4566453993320465,0.18577343225479126
hiera_s_in1k,0.5370631814002991,0.2117961347103119,0.39454731345176697,0.4491293132305145,0.19858253002166748
clip_l_in1k,0.3334164321422577,0.09028869867324829,0.1934957653284073,0.12163364887237549,0.15037555992603302
clip_l,0.5802434086799622,0.3897833824157715,0.532189130783081,0.4436676502227783,0.3681444227695465
dinov2_l_in1k,0.9094529151916504,0.4807060956954956,0.6809037327766418,0.7905086278915405,0.5344510674476624
dinov2_l,0.4086156189441681,0.10639815032482147,0.1645963490009308,0.2489280253648758,0.18469032645225525
dinov3_l,0.5185083150863647,0.158606618642807,0.23702271282672882,0.4278714954853058,0.29034507274627686
swin_l_in1k,0.6326605081558228,0.20379024744033813,0.6176834106445312,0.5380382537841797,0.1999194622039795
swin_l,0.6326605081558228,0.20379024744033813,0.6176834106445312,0.5380382537841797,0.1999194622039795
vit_l_in1k,0.7339106202125549,0.3117918372154236,0.5277139544487,0.47088393568992615,0.28692561388015747
hiera_l_in1k,0.4909663498401642,0.222653329372406,0.4269890785217285,0.5031439065933228,0.21641893684864044
