Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,DINOv3-L-KNN,dinov3_l__knn,0.36632053046415614,0.5439759789816089,0.10423531965209862,0.8084079777105282,2928,0.6124087448434449
2,CLIP-L-IN1K-KNN,clip_l_in1k__knn,0.3231577630426623,0.4536469410734393,0.30016748045265756,0.7553704264267359,2583,0.5638195782728876
3,DINOv2-L-KNN,dinov2_l__knn,0.3090203928437383,0.5207056174152384,0.19801544425753886,0.7837107392640712,2470,0.5811916417242574
4,DINOv2-L-IN1K-KNN,dinov2_l_in1k__knn,0.2985111972976354,0.498936569498311,0.11059731225605814,0.8309147902327215,2386,0.5450208725499706
5,DINOv2-B-KNN,dinov2_b__knn,0.2637307644188665,0.46365569873639434,0.21895763278939648,0.8044276446566787,2108,0.537465903088858
6,Hiera_L-IN1K-KNN,hiera_l_in1k__knn,0.24158638808957839,0.37632928812711125,0.3635911087391449,0.7222238833281707,1931,0.5100271053862612
7,DINOv2-B-IN1K-KNN,dinov2_b_in1k__knn,0.23845865131990493,0.44163643187789314,0.13829422665320187,0.8317315159636133,1906,0.5067550748550775
8,CLIP-B-IN1K-KNN,clip_b_in1k__knn,0.234204929313149,0.376704616539472,0.2771451994338621,0.7933006048254782,1872,0.504987087768195
9,Swin-L-IN1K-KNN,swin_l_in1k__knn,0.20530464156136619,0.3609408232203178,0.28462230803319843,0.7865102106444279,1641,0.5121567954546307
10,Swin-L-KNN,swin_l__knn,0.20530464156136619,0.3609408232203178,0.28462230803319843,0.7865102106444279,1641,0.5121567954546307
11,Swin-S-IN1K-KNN,swin_s_in1k__knn,0.20367821844113598,0.35718753909670964,0.25973146556074145,0.7473965520901892,1628,0.45575761614248705
12,DINOv2-S-KNN,dinov2_s__knn,0.20355310897034906,0.41686475666207934,0.17522569516100187,0.7847108013318296,1627,0.4634020116016374
13,Hiera_B-KNN,hiera_b_in1k__knn,0.20117602902539722,0.32703615663705743,0.3365180007120657,0.7137410539315949,1608,0.4694101155936272
14,Swin-B-IN1K-KNN,swin_b_in1k__knn,0.20030026272988866,0.348304766670837,0.2878307045330083,0.7361737208206073,1601,0.4905547008606925
15,Hiera_S-IN1K-KNN,hiera_s_in1k__knn,0.185287126235456,0.31765294632803703,0.3098728338751211,0.730795284496331,1481,0.4467026983613576
16,DINOv2-S-IN1K-KNN,dinov2_s_in1k__knn,0.18015763793319153,0.3812085574878018,0.1437228334631622,0.7966307840344541,1440,0.43247276884656516
17,Swin-B-KNN,swin_b__knn,0.17377705492305767,0.31515075691229827,0.388818215184034,0.6921801434564823,1389,0.4350467622428502
18,ViT-L-IN1K-KNN,vit_l_in1k__knn,0.16889778556236706,0.2968847741774052,0.18756446921395134,0.7867148934272221,1350,0.41807676243488406
19,Swin-S-KNN,swin_s__knn,0.16789690979607155,0.2981358688852746,0.3556178334919112,0.7177794045515158,1342,0.4263426927730659
20,CLIP-L-KNN,clip_l__knn,0.16389340673088953,0.30826973601901664,0.08235866058350773,0.8242454079109236,1310,0.4215130252816376
21,DINOv3-S-KNN,dinov3_s__knn,0.14963092706117853,0.33229075441010886,0.13960433614693218,0.7585641757159243,1196,0.4228420568325103
22,ViT-B-IN1K-KNN,vit_b_in1k__knn,0.13636932315776304,0.26648317277617917,0.1843183017734904,0.7942321314891677,1090,0.39265525167520166
23,DINOv1-B-KNN,dinov1_b__knn,0.08845239584636556,0.22081821593894657,0.16444076663592755,0.7852811829161427,707,0.37570517871747583
24,ResNet-50-KNN,resnet50__knn,0.08770173902164394,0.18828975353434255,0.11088960389453434,0.8120736734529388,701,0.2554467911590229
25,ResNet-50-IN1K-KNN,resnet50_in1k__knn,0.08620042537220067,0.17552858751407482,0.13052664239490402,0.7846242470873068,689,0.34426491647947394
26,CLIP-B-KNN,clip_b__knn,0.0843237833103966,0.20380332791192293,0.12765859611296063,0.8111346306896849,674,0.3339883943703377
27,DINOv3-B-KNN,dinov3_b__knn,0.08157137495308395,0.17039909921181035,0.09303634019887119,0.8861549930092605,652,0.4281480824129471
28,DINOv1-S-KNN,dinov1_s__knn,0.06968597522832479,0.1851620167646691,0.1705512971097964,0.8001099508142734,557,0.34320089216708166
