Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,CLIP-L-IN1K-KNN,clip_l_in1k__knn,0.7772,0.8971,0.07970358861386773,0.8295525079209907,7772,0.5638195782728876
2,Hiera_L-IN1K-KNN,hiera_l_in1k__knn,0.763,0.8839,0.08192272624149916,0.8346435069208267,7630,0.5100271053862612
3,Swin-L-IN1K-KNN,swin_l_in1k__knn,0.7425,0.8893,0.059896988433599516,0.8495190088588147,7425,0.5121567954546307
4,Swin-L-KNN,swin_l__knn,0.7425,0.8893,0.059896988433599516,0.8495190088588147,7425,0.5121567954546307
5,CLIP-B-IN1K-KNN,clip_b_in1k__knn,0.7408,0.8825,0.06589400564134118,0.8425440287693651,7408,0.504987087768195
6,Hiera_B-KNN,hiera_b_in1k__knn,0.7333,0.8707,0.08197146534398195,0.8439150342808812,7333,0.4694101155936272
7,DINOv3-L-KNN,dinov3_l__knn,0.7313,0.8935,0.03860101809725164,0.8559218557975812,7313,0.6124087448434449
8,Swin-B-IN1K-KNN,swin_b_in1k__knn,0.7299,0.8829,0.06317061468213798,0.8497976296652039,7299,0.4905547008606925
9,Hiera_S-IN1K-KNN,hiera_s_in1k__knn,0.7171,0.8629,0.07794899204820394,0.8446190443727359,7171,0.4467026983613576
10,Swin-B-KNN,swin_b__knn,0.7146,0.8534,0.09249748458638787,0.8429224497913279,7146,0.4350467622428502
11,DINOv2-L-KNN,dinov2_l__knn,0.7127,0.8749,0.07476592577248817,0.8468276148057389,7127,0.5811916417242574
12,DINOv2-L-IN1K-KNN,dinov2_l_in1k__knn,0.7115,0.886,0.025093189357966214,0.8518871814983113,7115,0.5450208725499706
13,Swin-S-KNN,swin_s__knn,0.7044,0.8526,0.0861119776174426,0.8438965752866767,7044,0.4263426927730659
14,Swin-S-IN1K-KNN,swin_s_in1k__knn,0.6982,0.8724,0.04939688628390432,0.8456651241220681,6982,0.45575761614248705
15,DINOv2-B-KNN,dinov2_b__knn,0.6952,0.8669,0.05638058353587987,0.8413040706199842,6952,0.537465903088858
16,DINOv2-B-IN1K-KNN,dinov2_b_in1k__knn,0.6863,0.8763,0.0271732294380665,0.8535806039704809,6863,0.5067550748550775
17,ViT-L-IN1K-KNN,vit_l_in1k__knn,0.6638,0.8338,0.028229619383066885,0.8704902003660355,6638,0.41807676243488406
18,ViT-B-IN1K-KNN,vit_b_in1k__knn,0.6521,0.824,0.017593570799380537,0.8696237274238019,6521,0.39265525167520166
19,DINOv2-S-KNN,dinov2_s__knn,0.6412,0.8483,0.02605890238434078,0.8348379675510869,6412,0.4634020116016374
20,DINOv2-S-IN1K-KNN,dinov2_s_in1k__knn,0.6369,0.8525,0.022504407269507646,0.8338862430029025,6369,0.43247276884656516
21,ResNet-50-IN1K-KNN,resnet50_in1k__knn,0.6251,0.783,0.025942470814287674,0.8879751178995142,6251,0.34426491647947394
22,CLIP-L-KNN,clip_l__knn,0.601,0.8276,0.05492830224409698,0.8314572621236953,6010,0.4215130252816376
23,ResNet-50-KNN,resnet50__knn,0.5917,0.7722,0.044776299018412825,0.87624345945511,5917,0.2554467911590229
24,DINOv3-S-KNN,dinov3_s__knn,0.591,0.8078,0.03675834513381124,0.8281942668966858,5910,0.4228420568325103
25,DINOv1-B-KNN,dinov1_b__knn,0.5722,0.7954,0.026595525622367854,0.8415098855675274,5722,0.37570517871747583
26,DINOv1-S-KNN,dinov1_s__knn,0.5501,0.7682,0.026915661394596096,0.8504807608582472,5501,0.34320089216708166
27,DINOv3-B-KNN,dinov3_b__knn,0.5383,0.7683,0.06551510575450954,0.8252579103041845,5383,0.4281480824129471
28,CLIP-B-KNN,clip_b__knn,0.5263,0.7705,0.054915604545176036,0.8132079311756595,5263,0.3339883943703377
