Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,CLIP-L-IN1K-KNN,clip_l_in1k__knn,0.8886,0.9602,0.02371200392246244,0.841528501251237,4443,0.5638195782728876
2,Hiera_L-IN1K-KNN,hiera_l_in1k__knn,0.8718,0.954,0.02126481339931483,0.8453059801676307,4359,0.5100271053862612
3,Swin-L-IN1K-KNN,swin_l_in1k__knn,0.8628,0.9608,0.022640992689132743,0.8709696276682737,4314,0.5121567954546307
4,Swin-L-KNN,swin_l__knn,0.8628,0.9608,0.022640992689132743,0.8709696276682737,4314,0.5121567954546307
5,CLIP-B-IN1K-KNN,clip_b_in1k__knn,0.8572,0.9548,0.02072516765743493,0.8536528937286533,4286,0.504987087768195
6,Hiera_B-KNN,hiera_b_in1k__knn,0.8546,0.9496,0.01874984704554082,0.8567253645696354,4273,0.4694101155936272
7,Swin-B-IN1K-KNN,swin_b_in1k__knn,0.8542,0.9584,0.01754898286461825,0.8674035083324259,4271,0.4905547008606925
8,Swin-B-KNN,swin_b__knn,0.8486,0.941,0.021317422550916655,0.8475401710673668,4243,0.4350467622428502
9,DINOv3-L-KNN,dinov3_l__knn,0.8402,0.9548,0.016807996962964533,0.8750026440453567,4201,0.6124087448434449
10,Hiera_S-IN1K-KNN,hiera_s_in1k__knn,0.8396,0.9476,0.020090044496953483,0.8707838253342346,4198,0.4467026983613576
11,Swin-S-KNN,swin_s__knn,0.8396,0.9436,0.023455779726803246,0.8556544560466391,4198,0.4263426927730659
12,Swin-S-IN1K-KNN,swin_s_in1k__knn,0.826,0.953,0.02377574611753226,0.8704987336840055,4130,0.45575761614248705
13,DINOv2-L-IN1K-KNN,dinov2_l_in1k__knn,0.8248,0.9476,0.04018719330430033,0.8602763531438644,4124,0.5450208725499706
14,DINOv2-B-IN1K-KNN,dinov2_b_in1k__knn,0.8148,0.944,0.045193841579556436,0.8653519500472363,4074,0.5067550748550775
15,ViT-L-IN1K-KNN,vit_l_in1k__knn,0.8132,0.9354,0.03551904863119125,0.8773460598202464,4066,0.41807676243488406
16,DINOv2-L-KNN,dinov2_l__knn,0.8124,0.9386,0.021639989842474457,0.8603243541734249,4062,0.5811916417242574
17,DINOv2-B-KNN,dinov2_b__knn,0.8032,0.9388,0.01859879804998635,0.869112725925566,4016,0.537465903088858
18,DINOv3-B-KNN,dinov3_b__knn,0.7958,0.9448,0.03607970865368839,0.871083472264649,3979,0.4281480824129471
19,ViT-B-IN1K-KNN,vit_b_in1k__knn,0.7942,0.9246,0.045513118313252915,0.8671380629094463,3971,0.39265525167520166
20,ResNet-50-IN1K-KNN,resnet50_in1k__knn,0.7864,0.9046,0.052649451170861755,0.8868279477712879,3932,0.34426491647947394
21,DINOv2-S-IN1K-KNN,dinov2_s_in1k__knn,0.7692,0.9328,0.058047338616848014,0.8594696734143197,3846,0.43247276884656516
22,DINOv2-S-KNN,dinov2_s__knn,0.769,0.9274,0.03529587222784758,0.866435974082268,3845,0.4634020116016374
23,CLIP-L-KNN,clip_l__knn,0.7572,0.9232,0.11009251850843424,0.8511430302049255,3786,0.4215130252816376
24,DINOv3-S-KNN,dinov3_s__knn,0.7422,0.9106,0.07417097290158274,0.86025505704112,3711,0.4228420568325103
25,DINOv1-B-KNN,dinov1_b__knn,0.7236,0.898,0.056849563363194466,0.8608517150539312,3618,0.37570517871747583
26,DINOv1-S-KNN,dinov1_s__knn,0.7052,0.8788,0.05639870785474778,0.8617553956613057,3526,0.34320089216708166
27,CLIP-B-KNN,clip_b__knn,0.6886,0.8836,0.12149080403149129,0.835840071661601,3443,0.3339883943703377
28,ResNet-50-KNN,resnet50__knn,0.0538,0.0852,0.013301228381693363,0.9694390946686374,269,0.2554467911590229
