Model;IN1k Top1;ShapeNet Top1;AUROC IN1k;ECE IN1k
DINOv3-L-KNN;0.6543260822574624;0;0.8416850731652193;0.06179538534766752
CLIP-L-IN1K-LOGITS;0.6482343925013264;0;0.8200108054927513;0.022134029885644963
CLIP-L-IN1K-KNN;0.641847943563442;0;0.8112379071292237;0.1624730353781023
DINOv2-L-IN1K-LOGITS;0.6238086816404331;0;0.838970599560052;0.02687879335732933
DINOv2-L-KNN;0.5941362573444163;0;0.8366491469000079;0.10274756785639777
DINOv2-L-IN1K-KNN;0.5642673269272338;0;0.8444476992873595;0.05174510306063521
CLIP-B-IN1K-LOGITS;0.5543044665841341;0;0.8225912923260824;0.05369942122062886
DINOv2-B-IN1K-LOGITS;0.5497848257973236;0;0.8401295370784592;0.05842182093682911
CLIP-B-IN1K-LINEAR_PROBE;0.5482520780522313;0;0.7976866573712751;0.5232805211590343
CLIP-B-IN1K-KNN;0.5454223899074456;0;0.8325975156274563;0.15777956818958158
DINOv2-B-IN1K-LINEAR_PROBE;0.5342804928373519;0;0.7709860046714723;0.5189154959340155
DINOv2-B-KNN;0.5228438365855096;0;0.8267331162495108;0.10365168353797323
DINOv2-B-IN1K-KNN;0.4946255575861188;0;0.8326707363781204;0.06247348525548784
Swin-L-IN1K-LOGITS;0.4899880131266089;0;0.8215359294572764;0.0845285025963947
Swin-L-KNN;0.4653068443082002;0;0.8486467066039267;0.1758412433001125
Swin-L-IN1K-KNN;0.4653068443082002;0;0.8486467066039267;0.1758412433001125
Hiera_L-IN1K-KNN;0.4586059855764507;0;0.834643346819729;0.24538340383997534
Hiera_L-IN1K-LOGITS;0.45797716598872057;0;0.8368518601303877;0.10220205424733302
Swin-B-IN1K-LOGITS;0.4558352492680147;0;0.8218460768339031;0.07267340415515765
Swin-B-IN1K-LINEAR_PROBE;0.4488592819666333;0;0.821949823851752;0.428823281784396
DINOv2-S-IN1K-LOGITS;0.4463636542278292;0;0.8278985269068084;0.09113907483728372
Swin-B-IN1K-KNN;0.4391911808052821;0;0.8416088083240697;0.18851715342619108
Swin-S-IN1K-LOGITS;0.4159052054471497;0;0.8250957179943186;0.07205255675923512
DINOv3-S-KNN;0.4146868674959225;0;0.8099999204866837;0.0369406262804566
CLIP-L-KNN;0.41399909607184265;0;0.8241346059588365;0.031358138882458995
DINOv2-S-KNN;0.40590304387981685;0;0.8177316595946028;0.0986072047946073
ViT-L-IN1K-LOGITS;0.40368252471064475;0;0.8258768295005329;0.17874543761337483
Hiera_B-KNN;0.4031519581834974;0;0.8335840783054816;0.25807433739662067
Hiera_B-LOGITS;0.3993397394328833;0;0.8305380005717933;0.12482960070621835
DINOv2-S-IN1K-KNN;0.39706026842736153;0;0.8207581835071904;0.06951847820071481
Swin-S-IN1K-KNN;0.3865668415571145;0;0.836334068328819;0.19329956244128937
DINOv3-B-KNN;0.38568256401186896;0;0.8309369222598612;0.04436264966978864
Hiera_S-IN1K-KNN;0.37786162038947513;0;0.836777061632437;0.24857964455339393
Hiera_S-IN1K-LOGITS;0.37756686120772665;0;0.8339907028131371;0.11250902900889952
ViT-L-IN1K-KNN;0.3728900155239836;0;0.8546777677773187;0.13145412642333568
ViT-B-IN1K-LOGITS;0.354379138910177;0;0.8278301354277511;0.16859905846581952
ViT-B-IN1K-KNN;0.32765430643164534;0;0.8685130616180787;0.11881438296484219
Swin-B-KNN;0.3248049676747431;0;0.8260012599297202;0.29907005767035155
Swin-S-KNN;0.3188704828155397;0;0.8369104401851499;0.27928517454785173
ResNet-50-IN1K-LOGITS;0.2965277368390025;0;0.8394138868012628;0.2813803431734253
CLIP-B-KNN;0.2889426005620075;0;0.8134461385715379;0.04291375900050613
ResNet-50-KNN;0.2547898367034133;0;0.8742151155155968;0.07574379585977481
DINOv1-B-KNN;0.24580950696614198;0;0.8645958994984789;0.12625290065934697
ResNet-50-IN1K-KNN;0.24221344494881017;0;0.8948665551542272;0.11262320489671974
DINOv1-S-KNN;0.2061152704906758;0;0.8593202945282611;0.1499162117858326
