rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_b__knn;CLIP-B-KNN;0.2889426005620075;0.5190316178348956;0.0;0;0;0;0.0
2;clip_b_in1k__knn;CLIP-B-IN1K-KNN;0.5454223899074456;0.7258543103617677;0.0;0;0;0;0.0
3;clip_b_in1k__linear_probe;CLIP-B-IN1K-LINEAR_PROBE;0.5482520780522313;0.7858476291536481;0.0;0;0;0;0.0
4;clip_b_in1k__logits;CLIP-B-IN1K-LOGITS;0.5543044665841341;0.7906423785100906;0.0;0;0;0;0.0
5;clip_l__knn;CLIP-L-KNN;0.41399909607184265;0.6490793688223389;0.0;0;0;0;0.0
6;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.641847943563442;0.7958497907209809;0.0;0;0;0;0.0
7;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.6482343925013264;0.8656094637347953;0.0;0;0;0;0.0
