value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
stove-2;50;0.0;0.08;50;0.0
stove-3;50;0.24;0.28;50;0.24
table-lamp-1;50;0.78;0.84;50;0.78
table-lamp-2;50;0.34;0.6;50;0.34
table-lamp-3;50;0.64;0.76;50;0.64
toilet-seat-1;50;0.74;0.76;50;0.74
trash-can-1;50;0.76;0.8;50;0.76
yawl-1;50;0.04;0.28;50;0.38
washer-3;50;0.2;0.22;50;0.2
upright-piano-2;50;0.22;0.26;50;0.28
vase-2;50;0.44;0.86;50;0.44
vase-3;50;0.5;0.78;50;0.52
washer-2;50;0.08;0.14;50;0.08
washer-1;50;0.08;0.16;50;0.08
wall-clock-2;50;0.0;0.2;50;0.18
wine-bottle-1;50;0.52;0.8;50;0.78
earphone-1;49;0.0;0.0;0;
missile-1;49;0.3469387755102041;0.6530612244897959;49;0.3877551020408163
printer-3;49;0.02040816326530612;0.08163265306122448;49;0.02040816326530612
remote-1;49;0.20408163265306123;0.2653061224489796;49;0.20408163265306123
wall-clock-1;49;0.0;0.1836734693877551;49;0.061224489795918366
trash-can-3;49;0.5306122448979592;0.6530612244897959;49;0.5306122448979592
vase-1;49;0.42857142857142855;0.673469387755102;49;0.42857142857142855
