Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.67132,0.87546,0.1296165825580805,0.8312673377720553
imagenet-9,0.43848765432098763,0.6009876543209877,0.11312059625523327,0.8908000744742236
imagenet-a,0.18265756724207147,0.375886524822695,0.12613269337848632,0.767511232491586
imagenet-c,0.5128983157894736,0.6638722105263158,0.14278322495193072,0.8979526989651352
imagenet-d,0.08831437435367115,0.23536711478800415,0.20444296078511823,0.6192913034423254
imagenet-hard,0.38688524590163936,0.526775956284153,0.0834645580805716,0.8495317393778261
imagenet-mini,0.6886,0.8836,0.12149080403149129,0.835840071661601
imagenet-r,0.37543333333333334,0.5592,0.04741975308234494,0.8387805921004575
imagenet-sketch,0.2889426005620075,0.5190316178348956,0.04291375900050613,0.8134461385715379
imagenet-v2,0.5263,0.7705,0.054915604545176036,0.8132079311756595
tiny-imagenet,0.2444,0.3993,0.07237968062758446,0.8349830268961747
normal_dataset,0.08630952380952381,0.19553571428571428,0.13042312464455053,0.8206761765696957
plastic_dataset,0.0843237833103966,0.20380332791192293,0.12765859611296063,0.8111346306896849
objectnet,0.17314525681059545,0.302950360719285,0.08870872757451245,0.7988811011520079
PUG_ImageNet,0.2618082601213658,0.40641699121456387,0.05229785719761751,0.8656081534965021
AVERAGE,0.3339883943703377,0.5012458315139026,0.10251790152174431,0.8192608139224316
