Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.83308,0.94184,0.020500562783330713,0.8677882159569752
imagenet-9,0.5838271604938272,0.7070987654320988,0.14748126790755325,0.8674415187624922
imagenet-a,0.18172086176903518,0.32798073063026895,0.39419329136602055,0.714625784395069
imagenet-c,0.7520313684210527,0.8903905263157895,0.032599703128333976,0.8532439491644834
imagenet-d,0.1480868665977249,0.3451913133402275,0.40932128980925314,0.5672505191231261
imagenet-hard,0.45428051001821496,0.5671220400728597,0.2277560354961941,0.8308589312614628
imagenet-mini,0.8396,0.9476,0.020090044496953483,0.8707838253342346
imagenet-r,0.3538,0.4411333333333333,0.27969631807953116,0.8543715200619835
imagenet-sketch,0.37786162038947513,0.5201713533376565,0.24857964455339393,0.836777061632437
imagenet-v2,0.7171,0.8629,0.07794899204820394,0.8446190443727359
tiny-imagenet,0.4955,0.6605,0.2252022017791867,0.7923494003014244
normal_dataset,0.17648809523809525,0.3196428571428571,0.31851080240726115,0.7584534909445275
plastic_dataset,0.185287126235456,0.31765294632803703,0.3098728338751211,0.730795284496331
objectnet,0.22246150533003123,0.33040809734036825,0.3346535168436534,0.7690526267033619
PUG_ImageNet,0.3794153609274522,0.505219183045014,0.2618319188888157,0.8067866078150001
AVERAGE,0.4467026983613576,0.5789900764212341,0.22054922823085377,0.7976798520217095
