Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.76108,0.92304,0.03231175815135241,0.8565098198898249
imagenet-9,0.6390432098765432,0.7108024691358025,0.07430770773049676,0.9428302858649039
imagenet-a,0.3417636825906597,0.5557339756456577,0.15374794687637597,0.777013658861656
imagenet-c,0.8284585263157894,0.9033071578947368,0.07687976826798523,0.9429597831371446
imagenet-d,0.14746639089968977,0.3826266804550155,0.31047102963203244,0.5851290206894487
imagenet-hard,0.4544626593806922,0.5789617486338798,0.14121412087320087,0.8993453685333939
imagenet-mini,0.769,0.9274,0.03529587222784758,0.866435974082268
imagenet-r,0.393,0.5401333333333334,0.11526349619850518,0.8470442681951541
imagenet-sketch,0.40590304387981685,0.630037925681385,0.0986072047946073,0.8177316595946028
imagenet-v2,0.6412,0.8483,0.02605890238434078,0.8348379675510869
tiny-imagenet,0.5386,0.7415,0.046748749481886655,0.8175663043633972
normal_dataset,0.24732142857142858,0.46517857142857144,0.14571688760160692,0.7916657744888536
plastic_dataset,0.20355310897034906,0.41686475666207934,0.17522569516100187,0.7847108013318296
objectnet,0.2263378916765371,0.37460966943038654,0.22806241605729685,0.7624676965371482
PUG_ImageNet,0.3538402318630559,0.5297527397880627,0.13329273673949785,0.8186497731542282
AVERAGE,0.4634020116016374,0.635216601872594,0.11954695281186896,0.8229932104183295
