Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.80464,0.92612,0.02854483044669032,0.8814632718785507
imagenet-9,0.5260185185185186,0.6620987654320988,0.06818379470745078,0.9206284300150961
imagenet-a,0.1395691154824033,0.27365181319416565,0.27369963787281737,0.7492352929773995
imagenet-c,0.7745585263157895,0.9036328421052632,0.014536006719242538,0.8638315858136285
imagenet-d,0.1296794208893485,0.31209927611168564,0.27472770537221813,0.6524213770686655
imagenet-hard,0.33579234972677596,0.5508196721311476,0.1301906851261094,0.7479489325322858
imagenet-mini,0.8132,0.9354,0.03551904863119125,0.8773460598202464
imagenet-r,0.3429,0.4402,0.16112106447791064,0.8743041408674477
imagenet-sketch,0.3728900155239836,0.54322152135039,0.13145412642333568,0.8546777677773187
imagenet-v2,0.6638,0.8338,0.028229619383066885,0.8704902003660355
tiny-imagenet,0.5766,0.7425,0.053909344650804984,0.8470620291182933
normal_dataset,0.15654761904761905,0.2755952380952381,0.18063108558056964,0.8043502177523875
plastic_dataset,0.16889778556236706,0.2968847741774052,0.18756446921395134,0.7867148934272221
objectnet,0.15742435662754387,0.2535264348013352,0.2118421332092152,0.799847729269284
PUG_ImageNet,0.30863372882891044,0.4223462548682185,0.17144419181148565,0.8411580533594762
AVERAGE,0.41807676243488406,0.5581264394844632,0.13010651624173733,0.8247653321362225
