Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.76286,0.92914,0.06366222315028307,0.8548972959233494
imagenet-9,0.589320987654321,0.7133950617283951,0.08245114723795358,0.915249571955598
imagenet-a,0.2713769570453633,0.49524956510103035,0.15536202982947417,0.7527401050128323
imagenet-c,0.8249570526315789,0.902069052631579,0.07627078469103261,0.9397534136576843
imagenet-d,0.12368148914167529,0.3578076525336091,0.28526712413626837,0.5449634254059041
imagenet-hard,0.4245901639344262,0.5765938069216757,0.07987100876026358,0.851875396628483
imagenet-mini,0.7692,0.9328,0.058047338616848014,0.8594696734143197
imagenet-r,0.36946666666666667,0.5139333333333334,0.09572808981512983,0.8465136427384828
imagenet-sketch,0.39706026842736153,0.6258916465247892,0.06951847820071481,0.8207581835071904
imagenet-v2,0.6369,0.8525,0.022504407269507646,0.8338862430029025
tiny-imagenet,0.4456,0.6703,0.06300478830412032,0.8147620164844133
normal_dataset,0.20684523809523808,0.412797619047619,0.13014589605099036,0.7832245873095145
plastic_dataset,0.18015763793319153,0.3812085574878018,0.1437228334631622,0.7966307840344541
objectnet,0.18434370625605687,0.32297835684289866,0.18611652552648295,0.7622664322507018
PUG_ImageNet,0.3007313649125985,0.46757540077891496,0.127868677418014,0.8136925273402846
AVERAGE,0.43247276884656516,0.6102826701954431,0.1093027568313497,0.8127122199110743
