Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.86194,0.9497,0.02715053860545156,0.8556054774726647
imagenet-9,0.600925925925926,0.7150925925925926,0.1655832830690031,0.857778351766515
imagenet-a,0.34858825103706675,0.4993978321959053,0.32108057903969095,0.7573639278487581
imagenet-c,0.7990749473684211,0.9217498947368421,0.03543957407816778,0.8570686443224649
imagenet-d,0.21013443640124096,0.41137538779731125,0.4181110342662115,0.6294594165517213
imagenet-hard,0.4644808743169399,0.5967213114754099,0.2621242337553119,0.7991167133520074
imagenet-mini,0.8718,0.954,0.02126481339931483,0.8453059801676307
imagenet-r,0.44583333333333336,0.5224666666666666,0.2589565297909081,0.8482984200688637
imagenet-sketch,0.4586059855764507,0.5910314606299987,0.24538340383997534,0.834643346819729
imagenet-v2,0.763,0.8839,0.08192272624149916,0.8346435069208267
tiny-imagenet,0.5897,0.73,0.1950505801796913,0.794518819720665
normal_dataset,0.24970238095238095,0.37589285714285714,0.3492372991827628,0.7454625484429009
plastic_dataset,0.24158638808957839,0.37632928812711125,0.3635911087391449,0.7222238833281707
objectnet,0.2819532680090449,0.3862926671691612,0.36335444769115977,0.7776867090020743
PUG_ImageNet,0.4630807897835341,0.5780839597862513,0.23058182593631088,0.8467622582044815
AVERAGE,0.5100271053862612,0.6328022612213405,0.22258879852097355,0.8003958669326316
