Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.77518,0.89898,0.039355939866006405,0.8880411036088259
imagenet-9,0.5404938271604939,0.6562037037037037,0.03776431841108901,0.9263150850240652
imagenet-a,0.020741335474374414,0.07761273919443329,0.26168647364418013,0.6182030168651755
imagenet-c,0.6052656842105263,0.7341250526315789,0.09173658443758206,0.9059222615906489
imagenet-d,0.07362978283350569,0.21613236814891418,0.24268152693434855,0.6495490190175877
imagenet-hard,0.43387978142076505,0.5127504553734062,0.05470693194916396,0.8969582100092175
imagenet-mini,0.7864,0.9046,0.052649451170861755,0.8868279477712879
imagenet-r,0.21566666666666667,0.2856,0.13587509139962495,0.8939144050378648
imagenet-sketch,0.24221344494881017,0.35418263278901135,0.11262320489671974,0.8948665551542272
imagenet-v2,0.6251,0.783,0.025942470814287674,0.8879751178995142
tiny-imagenet,0.2707,0.4247,0.13477898162566126,0.8323578823806991
normal_dataset,0.09226190476190477,0.1842261904761905,0.1351896443359909,0.7836938127974616
plastic_dataset,0.08620042537220067,0.17552858751407482,0.13052664239490402,0.7846242470873068
objectnet,0.1518789706040702,0.2336061160762356,0.13817939788497816,0.8456159090846186
PUG_ImageNet,0.2443619237387918,0.3454736889774477,0.08134209540533505,0.8822411525934216
AVERAGE,0.34426491647947394,0.4524481023256664,0.11166925034471557,0.8384737150614613
