Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.8334,0.95238,0.015049780404418702,0.8738216294437141
imagenet-9,0.7096913580246914,0.8087654320987654,0.03570998719238024,0.9371158814997287
imagenet-a,0.5811588384852134,0.7603372139702931,0.07934313088807018,0.8189984397057731
imagenet-c,0.9623972631578948,0.9879768421052632,0.04743246619888667,0.9560176812883611
imagenet-d,0.2095139607032058,0.4359875904860393,0.28156029504512925,0.6108036653798887
imagenet-hard,0.5762295081967214,0.717304189435337,0.15306554859426075,0.8724684336853057
imagenet-mini,0.8402,0.9548,0.016807996962964533,0.8750026440453567
imagenet-r,0.7171333333333333,0.8479333333333333,0.0267373212662836,0.878301209122283
imagenet-sketch,0.6543260822574624,0.8374501365717542,0.06179538534766752,0.8416850731652193
imagenet-v2,0.7313,0.8935,0.03860101809725164,0.8559218557975812
tiny-imagenet,0.7055,0.8361,0.04823966326937079,0.8169563182320814
normal_dataset,0.3827380952380952,0.5541666666666667,0.11083085382179844,0.8306975124139349
plastic_dataset,0.36632053046415614,0.5439759789816089,0.10423531965209862,0.8084079777105282
objectnet,0.3504899321632389,0.4863249703887154,0.2535976316233112,0.7701399053995689
PUG_ImageNet,0.5657322706276605,0.6997667783715243,0.04768945637651071,0.892335231161117
AVERAGE,0.6124087448434449,0.7544512754939533,0.08804639031602686,0.8425782305366961
