Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.8279,0.93702,0.01969100576668977,0.8611381737107229
imagenet-9,0.5625,0.6930864197530864,0.1522848600979297,0.8740320382829756
imagenet-a,0.15348588251037068,0.2873009500869798,0.4165245282038634,0.7188042401778851
imagenet-c,0.7191576842105263,0.8726783157894736,0.04314349716495372,0.8430737748141613
imagenet-d,0.13236814891416754,0.3296794208893485,0.4182692198265795,0.5487686233611442
imagenet-hard,0.4237704918032787,0.5457194899817851,0.23865691913064493,0.8212896801922558
imagenet-mini,0.8396,0.9436,0.023455779726803246,0.8556544560466391
imagenet-r,0.31953333333333334,0.3996,0.30411903123358885,0.8490351257245414
imagenet-sketch,0.3188704828155397,0.44933089665743087,0.27928517454785173,0.8369104401851499
imagenet-v2,0.7044,0.8526,0.0861119776174426,0.8438965752866767
tiny-imagenet,0.4684,0.6395,0.24756196109727024,0.7937820560395152
normal_dataset,0.1836309523809524,0.30833333333333335,0.34484166636220404,0.7109258811732946
plastic_dataset,0.16789690979607155,0.2981358688852746,0.3556178334919112,0.7177794045515158
objectnet,0.21460105523850545,0.32168622806073005,0.32418490636019154,0.7681515995592471
PUG_ImageNet,0.35902545059324337,0.4779571596775654,0.26626034123191594,0.8155899340710451
AVERAGE,0.4263426927730659,0.5570818722076673,0.23466724679065604,0.7905888002117846
