Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.72574,0.90478,0.07434392998963595,0.857164053732558
imagenet-9,0.6517901234567901,0.7199382716049383,0.07376118776066527,0.952641776056838
imagenet-a,0.11601766358892011,0.28676568981667333,0.21774730775652362,0.6873580726479476
imagenet-c,0.8886096842105263,0.9401901052631579,0.12068980053216921,0.9650831288823271
imagenet-d,0.09120992761116856,0.28914167528438467,0.27299915801313823,0.5463990785208029
imagenet-hard,0.4830601092896175,0.5975409836065574,0.09745503440092168,0.9304351788961912
imagenet-mini,0.7422,0.9106,0.07417097290158274,0.86025505704112
imagenet-r,0.4081666666666667,0.5840333333333333,0.04670170586705207,0.8387251941866973
imagenet-sketch,0.4146868674959225,0.653520407160683,0.0369406262804566,0.8099999204866837
imagenet-v2,0.591,0.8078,0.03675834513381124,0.8281942668966858
tiny-imagenet,0.4898,0.7014,0.04405084855929017,0.8194873378505197
normal_dataset,0.1550595238095238,0.325,0.1406830221924576,0.7850828770369389
plastic_dataset,0.14963092706117853,0.33229075441010886,0.13960433614693218,0.7585641757159243
objectnet,0.1790136750296113,0.31522558414988694,0.164223770403905,0.761124156052141
PUG_ImageNet,0.2566456842677294,0.4204782175527579,0.10699764287807624,0.8143155764397171
AVERAGE,0.4228420568325103,0.5859136681454988,0.10980851258777452,0.8143219900295394
