Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.84622,0.94976,0.01692501567780972,0.8575101628033917
imagenet-9,0.586604938271605,0.7036728395061729,0.12506619283607529,0.8906818066506226
imagenet-a,0.22614746420446943,0.39314866854007763,0.33418974188932465,0.7390036804467696
imagenet-c,0.7617985263157895,0.8884915789473684,0.02015048128561832,0.8756730950484122
imagenet-d,0.19875904860392968,0.42068252326783867,0.3916974831083568,0.6198330125272837
imagenet-hard,0.4819672131147541,0.6136612021857923,0.19293243953744404,0.8196956495912945
imagenet-mini,0.8572,0.9548,0.02072516765743493,0.8536528937286533
imagenet-r,0.5141333333333333,0.6166,0.18159177897001305,0.8426606829641803
imagenet-sketch,0.5454223899074456,0.7258543103617677,0.15777956818958158,0.8325975156274563
imagenet-v2,0.7408,0.8825,0.06589400564134118,0.8425440287693651
tiny-imagenet,0.5901,0.733,0.1332266707219183,0.8290612914173561
normal_dataset,0.25744047619047616,0.41517857142857145,0.2627231294377929,0.8040274769191562
plastic_dataset,0.234204929313149,0.376704616539472,0.2771451994338621,0.7933006048254782
objectnet,0.2680628836007322,0.3729945084526758,0.3255898231201021,0.7962610008745077
PUG_ImageNet,0.4659451136672403,0.580959605108233,0.18879885752578662,0.8457330645510688
AVERAGE,0.504987087768195,0.6418672282891981,0.17962903700216412,0.8161490644496664
