Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.79214,0.94002,0.031938684062510776,0.8630460637740204
imagenet-9,0.5604629629629629,0.7096913580246914,0.12751149127765754,0.8790619971199871
imagenet-a,0.08965609527632812,0.20982202596012312,0.17842896259692037,0.7011302081390782
imagenet-c,0.9255126315789474,0.9658501052631578,0.08050456280165594,0.9614038014483854
imagenet-d,0.061840744570837644,0.14767321613236814,0.24594055809689283,0.5823069844808976
imagenet-hard,0.5170309653916211,0.6167577413479053,0.14025871088772413,0.8790504349574164
imagenet-mini,0.7958,0.9448,0.03607970865368839,0.871083472264649
imagenet-r,0.3694,0.5140666666666667,0.052202174947535006,0.8431778653030026
imagenet-sketch,0.38568256401186896,0.5954135471319931,0.04436264966978864,0.8309369222598612
imagenet-v2,0.5383,0.7683,0.06551510575450954,0.8252579103041845
tiny-imagenet,0.5198,0.7232,0.050677123162895445,0.828165976758113
normal_dataset,0.2675595238095238,0.4797619047619048,0.12369038008064742,0.81261720662129
plastic_dataset,0.08157137495308395,0.17039909921181035,0.09303634019887119,0.8861549930092605
objectnet,0.10929255949176268,0.1983417680628836,0.144260753673988,0.7517820220864975
PUG_ImageNet,0.4081718141472693,0.5690041662892854,0.07038621345020209,0.849470397499043
AVERAGE,0.4281480824129471,0.5702067732568527,0.09898622795436582,0.8243097504017124
