Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.8159,0.9472,0.03342834239259365,0.8635174215029254
imagenet-9,0.6340432098765432,0.761358024691358,0.05221046427402784,0.9239760843934772
imagenet-a,0.5489094071992506,0.7270172621437174,0.05507905704599777,0.8462071305124834
imagenet-c,0.8846656842105263,0.9660753684210527,0.10902729591569302,0.9100947270649373
imagenet-d,0.1592554291623578,0.3791106514994829,0.27964926164793746,0.610819635469082
imagenet-hard,0.4969945355191257,0.6598360655737705,0.08583346940373462,0.8304676122252319
imagenet-mini,0.8248,0.9476,0.04018719330430033,0.8602763531438644
imagenet-r,0.5237333333333334,0.6489,0.057370746844013505,0.8809743852388913
imagenet-sketch,0.5642673269272338,0.7653716913281848,0.05174510306063521,0.8444476992873595
imagenet-v2,0.7115,0.886,0.025093189357966214,0.8518871814983113
tiny-imagenet,0.6537,0.8137,0.02880463133901358,0.8298170422514618
normal_dataset,0.3607142857142857,0.5720238095238095,0.09005087106710387,0.8281719582572782
plastic_dataset,0.2985111972976354,0.498936569498311,0.11059731225605814,0.8309147902327215
objectnet,0.2743081727145472,0.41945730591148916,0.20384207271224808,0.7889138856714633
PUG_ImageNet,0.4240105062947197,0.571200525314736,0.08864277220067025,0.8582999232701848
AVERAGE,0.5450208725499706,0.7042524849270608,0.0874374521881329,0.8372523886679782
