Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.85314,0.95784,0.01092893979340792,0.8750528648483364
imagenet-9,0.6388271604938272,0.7665432098765432,0.09490331501320559,0.8875543460588311
imagenet-a,0.37120299745751373,0.5602836879432624,0.25352197427192436,0.7655964399303845
imagenet-c,0.8453724210526316,0.9525757894736843,0.0183331036637496,0.8803330528038023
imagenet-d,0.20041365046535678,0.4215098241985522,0.37592012420712734,0.5906804685552169
imagenet-hard,0.4961748633879781,0.6086520947176685,0.19785134581160238,0.8574337680753177
imagenet-mini,0.8628,0.9608,0.022640992689132743,0.8709696276682737
imagenet-r,0.4615,0.5623333333333334,0.19837284070824582,0.857806633306653
imagenet-sketch,0.4653068443082002,0.6260292008096052,0.1758412433001125,0.8486467066039267
imagenet-v2,0.7425,0.8893,0.059896988433599516,0.8495190088588147
tiny-imagenet,0.5912,0.7542,0.14544310366287827,0.8097979018428139
normal_dataset,0.23214285714285715,0.37142857142857144,0.27348609667360074,0.8033194195984893
plastic_dataset,0.20530464156136619,0.3609408232203178,0.28462230803319843,0.7865102106444279
objectnet,0.27145472165392487,0.3935608915688597,0.31067649897096095,0.7774106755397727
PUG_ImageNet,0.4450117742958065,0.5706231319626845,0.19789309794812537,0.8310153941713283
AVERAGE,0.5121567954546307,0.6504413705688723,0.17468879821205807,0.8194431012337593
