Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.84342,0.94624,0.023623881491124637,0.8623295229888055
imagenet-9,0.5882098765432099,0.7102469135802469,0.16042477542948388,0.8660449087251645
imagenet-a,0.23832463535394086,0.3831125384718319,0.3786975216107022,0.7335013768745835
imagenet-c,0.766456,0.8993953684210526,0.03693282787857872,0.8562068848350437
imagenet-d,0.16732161323681488,0.3646328852119959,0.4151153365699064,0.5740313119236704
imagenet-hard,0.48506375227686704,0.5934426229508196,0.22872099049172223,0.840145688250244
imagenet-mini,0.8546,0.9496,0.01874984704554082,0.8567253645696354
imagenet-r,0.3895,0.4718,0.2808029925525189,0.8550058215526763
imagenet-sketch,0.4031519581834974,0.5447542690954823,0.25807433739662067,0.8335840783054816
imagenet-v2,0.7333,0.8707,0.08197146534398195,0.8439150342808812
tiny-imagenet,0.5129,0.6723,0.21809220619648692,0.7960879479816945
normal_dataset,0.2005952380952381,0.3366071428571429,0.32795394529987654,0.7401503233603849
plastic_dataset,0.20117602902539722,0.32703615663705743,0.3365180007120657,0.7137410539315949
objectnet,0.24345859804027134,0.3563583503822548,0.345375424331788,0.7742416160585318
PUG_ImageNet,0.4136740331491713,0.532707635177973,0.258201944873988,0.8159353247612331
AVERAGE,0.4694101155936272,0.5972622588523905,0.22461703314829237,0.7974430838933084
