Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.68634,0.8743,0.04703898452222348,0.8627516776210259
imagenet-9,0.6326234567901234,0.7251543209876543,0.06828272850080219,0.9305351796154233
imagenet-a,0.039609260002676304,0.12712431419777867,0.2770590841975554,0.6406025818210576
imagenet-c,0.7953896842105264,0.8803648421052631,0.12351042247203307,0.9342956567566146
imagenet-d,0.06349534643226473,0.19751809720785937,0.2507412051633694,0.609873706564151
imagenet-hard,0.42012750455373404,0.5155737704918033,0.0960737035160236,0.9222994023588802
imagenet-mini,0.7052,0.8788,0.05639870785474778,0.8617553956613057
imagenet-r,0.2304,0.33163333333333334,0.16333467764606083,0.870542818459485
imagenet-sketch,0.2061152704906758,0.3406040598164633,0.1499162117858326,0.8593202945282611
imagenet-v2,0.5501,0.7682,0.026915661394596096,0.8504807608582472
tiny-imagenet,0.3864,0.5994,0.0957925499677658,0.7886578943195099
normal_dataset,0.07321428571428572,0.1818452380952381,0.17012087981926188,0.7756108004239965
plastic_dataset,0.06968597522832479,0.1851620167646691,0.1705512971097964,0.8001099508142734
objectnet,0.09017982125551846,0.19715731667922903,0.17604490237586704,0.7644766050804032
PUG_ImageNet,0.19913277782809527,0.3283556743048637,0.13558615007402422,0.8343216684553215
AVERAGE,0.34320089216708166,0.47541286559894375,0.13382447775999734,0.8203756262225304
