Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.83562,0.93672,0.027902878734618424,0.8544207702944979
imagenet-9,0.5613271604938271,0.6925308641975308,0.15880408365256438,0.867772152149752
imagenet-a,0.1773049645390071,0.30830991569650745,0.42257009091190456,0.7171862609101287
imagenet-c,0.709750947368421,0.8656065263157895,0.05714546888895412,0.8368657336780642
imagenet-d,0.12450879007238883,0.30837642192347464,0.45996150741933417,0.551820924503172
imagenet-hard,0.44280510018214936,0.5628415300546448,0.2443278743486804,0.8150935751554946
imagenet-mini,0.8486,0.941,0.021317422550916655,0.8475401710673668
imagenet-r,0.3315,0.4093,0.3089089683545133,0.8437563944000656
imagenet-sketch,0.3248049676747431,0.45306451295957867,0.29907005767035155,0.8260012599297202
imagenet-v2,0.7146,0.8534,0.09249748458638787,0.8429224497913279
tiny-imagenet,0.4721,0.6317,0.26198562220782046,0.7858746507475536
normal_dataset,0.2017857142857143,0.32589285714285715,0.34723450888081325,0.7188417704394422
plastic_dataset,0.17377705492305767,0.31515075691229827,0.388818215184034,0.6921801434564823
objectnet,0.22649940777430816,0.3248627113168946,0.3444132930343934,0.7704721449428624
PUG_ImageNet,0.38071732632913685,0.4942034236029345,0.27692489379841645,0.8183192735269577
AVERAGE,0.4350467622428502,0.561530634674834,0.2474588246815802,0.7859378449995259
