Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.8191,0.9465,0.014819649205058853,0.8657697972244881
imagenet-9,0.5958641975308642,0.7276543209876544,0.09874693490311873,0.8872015240910931
imagenet-a,0.22240064231232437,0.4018466479325572,0.3183468591691531,0.7357710003083491
imagenet-c,0.805412,0.9300018947368421,0.03554522369180539,0.8708247484528197
imagenet-d,0.1809720785935884,0.40227507755946224,0.34308484822295937,0.5810249639249639
imagenet-hard,0.45910746812386155,0.5811475409836065,0.17986834250892664,0.8450179148927941
imagenet-mini,0.826,0.953,0.02377574611753226,0.8704987336840055
imagenet-r,0.3661,0.4711,0.2345374233715236,0.8506377467361959
imagenet-sketch,0.3865668415571145,0.559944192261589,0.19329956244128937,0.836334068328819
imagenet-v2,0.6982,0.8724,0.04939688628390432,0.8456651241220681
tiny-imagenet,0.4636,0.6579,0.18471166087463498,0.8136972854211664
normal_dataset,0.1949404761904762,0.34285714285714286,0.2821729003850903,0.7543683594135824
plastic_dataset,0.20367821844113598,0.35718753909670964,0.25973146556074145,0.7473965520901892
objectnet,0.2334445999784645,0.3592656401421342,0.2887518792502928,0.7757863373908708
PUG_ImageNet,0.3809777194094738,0.519846481296984,0.21442352953973337,0.8236286519480145
AVERAGE,0.45575761614248705,0.6055284318569787,0.1814141941017176,0.8069081872019613
