,Camera_Position,Fog,Level,Light_Color_RGB,Material,Object,true_shapenet_superclass
clip_b__knn,0.23662559560349608,0.2618082601213658,0.2618082601213658,0.12213891081294394,0.17973066298342538,0.2618082601213658,0.2618082601213658
clip_b_in1k__knn,0.4613961238270631,0.4659451136672403,0.4659451136672403,0.15726124704025254,0.40849447513812154,0.46594511366724034,0.4659451136672403
clip_b_in1k__logits,0.4695175246280219,0.4787270174803007,0.4787270174803007,0.16692975532754534,0.4150552486187845,0.47872701748030067,0.4787270174803007
dinov1_b__knn,0.23579175070887773,0.235938773661806,0.235938773661806,0.127861089187056,0.18439226519337013,0.23593877366180596,0.235938773661806
dinov2_b__knn,0.48195357946739154,0.4606240376777465,0.4606240376777465,0.30367008681925806,0.42748618784530384,0.46062403767774657,0.4606240376777465
dinov2_b_in1k__knn,0.41671489958782776,0.3871931890227335,0.3871931890227335,0.18153117600631408,0.3712016574585635,0.3871931890227334,0.3871931890227335
dinov2_b_in1k__logits,0.45234587389283515,0.4328865139027262,0.4328865139027262,0.20599842146803468,0.3850138121546961,0.4328865139027262,0.4328865139027262
dinov3_b__knn,0.4585788827501535,0.4081718141472693,0.4081718141472693,0.2736779794790844,0.40020718232044195,0.4081718141472692,0.4081718141472693
hiera_b_in1k__knn,0.3991953871788126,0.4136740331491713,0.4136740331491713,0.18863456985003943,0.3508287292817679,0.4136740331491713,0.4136740331491713
hiera_b_in1k__logits,0.39881537022421004,0.4266257585363645,0.4266257585363645,0.21645619573796365,0.3458218232044199,0.4266257585363644,0.4266257585363645
resnet50__knn,0.2370085357654418,0.2241757992935422,0.2241757992935422,0.10063141278610889,0.1654005524861878,0.2241757992935422,0.2241757992935422
resnet50_in1k__knn,0.2619486100149083,0.2443619237387918,0.2443619237387918,0.08464877663772688,0.19665055248618782,0.24436192373879173,0.2443619237387918
resnet50_in1k__logits,0.3217917799409512,0.3260461008966579,0.3260461008966579,0.14325177584846088,0.2335980662983425,0.32604610089665786,0.3260461008966579
swin_b__knn,0.3817913414598497,0.3807173263291368,0.3807173263291368,0.18133385951065506,0.2783149171270718,0.38071732632913685,0.3807173263291368
swin_b_in1k__knn,0.42883597883597885,0.4171950004528575,0.4171950004528575,0.13772691397000786,0.3254488950276243,0.4171950004528575,0.4171950004528575
swin_b_in1k__logits,0.42905229617936796,0.4264332940856806,0.4264332940856806,0.14621152328334644,0.3340814917127072,0.4264332940856806,0.4264332940856806
vit_b_in1k__knn,0.279113683533573,0.267729372339462,0.267729372339462,0.09471191791633775,0.2553522099447514,0.267729372339462,0.267729372339462
vit_b_in1k__logits,0.32116767517320005,0.3140227334480572,0.3140227334480572,0.11306235201262822,0.2790055248618784,0.3140227334480572,0.3140227334480572
