,mean,std,min,max
Camera_Position,0.37064693826510886,0.08894623299227354,0.23579175070887773,0.48195357946739154
Fog,0.36512644788616166,0.08657286563750749,0.2241757992935422,0.4787270174803007
Level,0.36512644788616166,0.08657286563750749,0.2241757992935422,0.4787270174803007
Light_Color_RGB,0.163652109094098,0.0591718519284441,0.08464877663772688,0.30367008681925806
Material,0.30756023634131363,0.08845244373763629,0.1654005524861878,0.42748618784530384
Object,0.36512644788616166,0.0865728656375075,0.2241757992935422,0.47872701748030067
true_shapenet_superclass,0.36512644788616166,0.08657286563750749,0.2241757992935422,0.4787270174803007
