value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
stove-2;50;0.02;0.18;50;0.02
stove-3;50;0.18;0.26;50;0.18
table-lamp-1;50;0.8;0.8;50;0.8
table-lamp-2;50;0.24;0.5;50;0.24
table-lamp-3;50;0.62;0.72;50;0.62
toilet-seat-1;50;0.66;0.74;50;0.66
trash-can-1;50;0.8;0.8;50;0.8
yawl-1;50;0.0;0.34;50;0.42
washer-3;50;0.2;0.24;50;0.2
upright-piano-2;50;0.3;0.36;50;0.34
vase-2;50;0.66;0.8;50;0.66
vase-3;50;0.0;0.52;50;0.02
washer-2;50;0.12;0.14;50;0.12
washer-1;50;0.18;0.18;50;0.18
wall-clock-2;50;0.0;0.18;50;0.2
wine-bottle-1;50;0.68;0.98;50;0.8
earphone-1;49;0.0;0.0;0;
missile-1;49;0.46938775510204084;0.7142857142857143;49;0.46938775510204084
printer-3;49;0.061224489795918366;0.24489795918367346;49;0.061224489795918366
remote-1;49;0.20408163265306123;0.20408163265306123;49;0.20408163265306123
wall-clock-1;49;0.0;0.20408163265306123;49;0.22448979591836735
trash-can-3;49;0.673469387755102;0.7959183673469388;49;0.673469387755102
vase-1;49;0.1836734693877551;0.6326530612244898;49;0.1836734693877551
