rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_b__knn;CLIP-B-KNN;0.43848765432098763;0.6009876543209877;0.0;0;0;0;0.0
2;clip_b_in1k__knn;CLIP-B-IN1K-KNN;0.586604938271605;0.7036728395061729;0.0;0;0;0;0.0
3;clip_b_in1k__linear_probe;CLIP-B-IN1K-LINEAR_PROBE;0.5416666666666666;0.6962037037037037;0.0;0;0;0;0.0
4;clip_b_in1k__logits;CLIP-B-IN1K-LOGITS;0.5408950617283951;0.7007098765432099;0.0;0;0;0;0.0
5;clip_l__knn;CLIP-L-KNN;0.4749382716049383;0.6300617283950617;0.0;0;0;0;0.0
6;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.5886111111111111;0.7073148148148148;0.0;0;0;0;0.0
7;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.5538888888888889;0.7202777777777778;0.0;0;0;0;0.0
