Model;IN1k Top1;ShapeNet Top1;AUROC IN1k;ECE IN1k
DINOv3-L-KNN;0.7171333333333333;0;0.878301209122283;0.0267373212662836
CLIP-L-IN1K-KNN;0.6567;0;0.8041295087551714;0.15089800848687684
CLIP-L-IN1K-LOGITS;0.6421333333333333;0;0.8042592666266135;0.023490371004740388
DINOv2-L-IN1K-LOGITS;0.6335333333333333;0;0.851816434709367;0.030881897989908872
DINOv2-L-KNN;0.6177;0;0.8685127304500193;0.07419474237610897
CLIP-L-KNN;0.5553666666666667;0;0.8442846113071654;0.08973760282459357
DINOv2-B-IN1K-LOGITS;0.5355333333333333;0;0.8464148828024973;0.03854704691569011
CLIP-B-IN1K-LINEAR_PROBE;0.5262333333333333;0;0.8327628221172086;0.5022468127005035
DINOv2-L-IN1K-KNN;0.5237333333333334;0;0.8809743852388913;0.057370746844013505
DINOv2-B-IN1K-LINEAR_PROBE;0.5213;0;0.8120610358854835;0.5058791305017386
CLIP-B-IN1K-KNN;0.5141333333333333;0;0.8426606829641803;0.18159177897001305
CLIP-B-IN1K-LOGITS;0.5109;0;0.8103008362583123;0.06317592010498047
DINOv2-B-KNN;0.5051;0;0.8536819970749756;0.10227885038281477
Swin-L-IN1K-LOGITS;0.4760333333333333;0;0.8222942825537923;0.09188503850301105
Swin-L-KNN;0.4615;0;0.857806633306653;0.19837284070824582
Swin-L-IN1K-KNN;0.4615;0;0.857806633306653;0.19837284070824582
DINOv2-B-IN1K-KNN;0.45563333333333333;0;0.8535561412047503;0.0715093341698249
Hiera_L-IN1K-KNN;0.44583333333333336;0;0.8482984200688637;0.2589565297909081
Hiera_L-IN1K-LOGITS;0.4372666666666667;0;0.8072418388571208;0.10493766721089678
Swin-B-IN1K-LINEAR_PROBE;0.4361333333333333;0;0.8446550555990544;0.41378451483633055
Swin-B-IN1K-LOGITS;0.4357666666666667;0;0.8195635651276981;0.07870234467188517
DINOv2-S-IN1K-LOGITS;0.4271;0;0.8476559471914776;0.08744371337890626
Swin-B-IN1K-KNN;0.4215333333333333;0;0.860716429886183;0.21689924990783135
DINOv3-S-KNN;0.4081666666666667;0;0.8387251941866973;0.04670170586705207
DINOv2-S-KNN;0.393;0;0.8470442681951541;0.11526349619850518
Hiera_B-KNN;0.3895;0;0.8550058215526763;0.2808029925525189
Swin-S-IN1K-LOGITS;0.3827333333333333;0;0.815852351268727;0.10079082431793211
Hiera_B-LOGITS;0.3796333333333333;0;0.8121567420530863;0.1296560236930847
CLIP-B-KNN;0.37543333333333334;0;0.8387805921004575;0.04741975308234494
DINOv2-S-IN1K-KNN;0.36946666666666667;0;0.8465136427384828;0.09572808981512983
DINOv3-B-KNN;0.3694;0;0.8431778653030026;0.052202174947535006
Swin-S-IN1K-KNN;0.3661;0;0.8506377467361959;0.2345374233715236
ViT-L-IN1K-LOGITS;0.3575;0;0.8285675262048802;0.20038928578694662
Hiera_S-IN1K-KNN;0.3538;0;0.8543715200619835;0.27969631807953116
Hiera_S-IN1K-LOGITS;0.34726666666666667;0;0.8123231553089832;0.12896819410324098
ViT-L-IN1K-KNN;0.3429;0;0.8743041408674477;0.16112106447791064
Swin-B-KNN;0.3315;0;0.8437563944000656;0.3089089683545133
ViT-B-IN1K-LOGITS;0.32816666666666666;0;0.825430221522157;0.19315079905192056
Swin-S-KNN;0.31953333333333334;0;0.8490351257245414;0.30411903123358885
ViT-B-IN1K-KNN;0.30816666666666664;0;0.887377223704558;0.14843514576467376
ResNet-50-IN1K-LOGITS;0.2771;0;0.823736967585332;0.3212566520690918
DINOv1-B-KNN;0.25926666666666665;0;0.8733670153621054;0.15243589557384454
ResNet-50-KNN;0.24286666666666668;0;0.8885802429673006;0.09344408281060558
DINOv1-S-KNN;0.2304;0;0.870542818459485;0.16333467764606083
ResNet-50-IN1K-KNN;0.21566666666666667;0;0.8939144050378648;0.13587509139962495
