value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
BaseMap;160;0.33125;0.55;149;0.4563758389261745
Desert_A;160;0.35625;0.58125;149;0.4697986577181208
Forest_Hills;160;0.4;0.58125;149;0.5234899328859061
Home_Interior;160;0.225;0.4;149;0.28187919463087246
Showcase;160;0.29375;0.50625;149;0.40268456375838924
TheForgottenRoom_Demo;160;0.25;0.4375;149;0.3422818791946309
