Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.83314,0.96986,0.07018583984374999,0.8680890931816642
imagenet-9,0.536820987654321,0.7008641975308642,0.04217597252056923,0.892144470068896
imagenet-a,0.2513046969088719,0.5372674963200856,0.1901541809057529,0.647294813850416
imagenet-c,0.6456818947368421,0.8455993684210527,0.06926432203674315,0.840009239124203
imagenet-d,0.1997931747673216,0.5937952430196484,0.2527943213698536,0.533891387024429
imagenet-hard,0.2355191256830601,0.4934426229508197,0.18843568548261577,0.708229932955831
imagenet-mini,0.8374,0.9736,0.07576788330078124,0.8762189592280447
imagenet-r,0.3827333333333333,0.5548666666666666,0.10079082431793211,0.815852351268727
imagenet-sketch,0.4159052054471497,0.6454440055807739,0.07205255675923512,0.8250957179943186
imagenet-v2,0.7376,0.9233,0.038628172302246105,0.842266194372983
tiny-imagenet,0.5188,0.746,0.035044738769531264,0.7733647922086329
normal_dataset,0.2154761904761905,0.4056547619047619,0.11289606094360352,0.7550459427057572
plastic_dataset,0.19704741648942825,0.3704491430001251,0.1336545606556127,0.7710642191851291
objectnet,0.2649402390438247,0.41461182297835686,0.19761947133998842,0.7785883955436049
PUG_ImageNet,0.40857938592518794,0.6022325876279323,0.10351319300524836,0.8030433800530985
AVERAGE,0.44538277669770204,0.6517991944000724,0.11219851890356422,0.782013259251049
