Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.86044,0.9765,0.08229372070312498,0.853072211223386
imagenet-9,0.5646604938271605,0.7236419753086419,0.04996951235665217,0.882951035158848
imagenet-a,0.3623712029974575,0.6500735982871672,0.14763673108280959,0.6902008506140137
imagenet-c,0.7060926315789474,0.8787416842105263,0.10517292806886372,0.8249934737316353
imagenet-d,0.22771458117890384,0.5975180972078593,0.2880143805644874,0.5582795403895859
imagenet-hard,0.325591985428051,0.5648451730418943,0.1890292975420509,0.7340333454526567
imagenet-mini,0.8652,0.979,0.08946596679687498,0.8625461463430695
imagenet-r,0.4372666666666667,0.6059666666666667,0.10493766721089678,0.8072418388571208
imagenet-sketch,0.45797716598872057,0.663109905873568,0.10220205424733302,0.8368518601303877
imagenet-v2,0.7717,0.9323,0.048989263916015664,0.8300329420440369
tiny-imagenet,0.5672,0.7705,0.0388043731689453,0.7910111185992612
normal_dataset,0.2467261904761905,0.44285714285714284,0.10573793819972448,0.7497570535492583
plastic_dataset,0.2287001125985237,0.41060928312273237,0.1896128392586433,0.7285985241738407
objectnet,0.29762032949283945,0.437816302358135,0.23641374065735576,0.7770221819464156
PUG_ImageNet,0.4826555565619056,0.664998641427407,0.08081951474767694,0.8150562253747201
AVERAGE,0.49346112778635765,0.6865652313574493,0.12393999523476369,0.7827765565058823
