Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.83886,0.96682,0.07313909423828127,0.8542236663905572
imagenet-9,0.5320679012345679,0.6946604938271604,0.03875748392976361,0.8805042957546767
imagenet-a,0.19590525893215577,0.4521611133413622,0.24188009859583043,0.6360712233107534
imagenet-c,0.629154947368421,0.8203054736842105,0.07301016644969736,0.8244488058532264
imagenet-d,0.15553257497414685,0.5079627714581179,0.3080747933767451,0.5356174863601545
imagenet-hard,0.2600182149362477,0.4802367941712204,0.19484457352990878,0.7506211720328708
imagenet-mini,0.8432,0.9704,0.07768035888671876,0.8548452142953955
imagenet-r,0.34726666666666667,0.5022333333333333,0.12896819410324098,0.8123231553089832
imagenet-sketch,0.37756686120772665,0.5750358623671127,0.11250902900889952,0.8339907028131371
imagenet-v2,0.7355,0.9132,0.03576241149902341,0.8325313207198014
tiny-imagenet,0.4796,0.6996,0.08098717041015625,0.7805306625621274
normal_dataset,0.18958333333333333,0.3636904761904762,0.17496529533749539,0.7563357894924969
plastic_dataset,0.1641436256724634,0.31490053797072437,0.23817014318375748,0.7409928980435965
objectnet,0.24281253364918703,0.3843544739959083,0.22595774540799013,0.7769368064647137
PUG_ImageNet,0.39152929988225704,0.5804388189475591,0.11574404892439041,0.8031525935276492
AVERAGE,0.4255160811904782,0.6150666766191457,0.1413633737921266,0.7782083861953427
