Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.85498,0.9759,0.04770099792480475,0.8569391732729598
imagenet-9,0.5408950617283951,0.7007098765432099,0.04530913953427916,0.8894646236468909
imagenet-a,0.24421249832731165,0.5261608457112271,0.23265550823459244,0.6666416042531724
imagenet-c,0.6507168421052631,0.8426652631578947,0.0191888865412662,0.8629410994206241
imagenet-d,0.21447776628748708,0.6045501551189245,0.30879678814956046,0.5621898903295294
imagenet-hard,0.2638433515482696,0.5428961748633879,0.24718276338281958,0.7344571984883619
imagenet-mini,0.8636,0.9794,0.0559790283203125,0.8522443729379438
imagenet-r,0.5109,0.6980666666666666,0.06317592010498047,0.8103008362583123
imagenet-sketch,0.5543044665841341,0.7906423785100906,0.05369942122062886,0.8225912923260824
imagenet-v2,0.7571,0.9293,0.026577078247070313,0.8363317177596752
tiny-imagenet,0.5663,0.7705,0.05542513275146483,0.8089713287197606
normal_dataset,0.2586309523809524,0.44910714285714287,0.23124522254580543,0.7830045470945115
plastic_dataset,0.23007631677718005,0.40072563493056423,0.26606409728385383,0.7677900358091918
objectnet,0.2919134273715947,0.42812533649187035,0.25765231146781115,0.7790504321517006
PUG_ImageNet,0.4787270174803007,0.6574925278507382,0.09911461194327492,0.8148552379502039
AVERAGE,0.4853785133727259,0.6864161335134479,0.1339844605101683,0.7898515593612614
