Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.80332,0.95486,0.041356833190918006,0.872192700729232
imagenet-9,0.5050925925925925,0.6706481481481481,0.11158279913443105,0.9008501377267171
imagenet-a,0.12980061554931085,0.3005486417770641,0.3372427012472766,0.6848529069057738
imagenet-c,0.6057911578947368,0.8071061052631578,0.07854616327868011,0.8679230846999517
imagenet-d,0.15842812823164426,0.459358841778697,0.36908022575812355,0.6018255908040607
imagenet-hard,0.22404371584699453,0.4536429872495446,0.2860169124082138,0.7599101349288141
imagenet-mini,0.8148,0.9648,0.03591307983398442,0.8741514964517125
imagenet-r,0.32816666666666666,0.47573333333333334,0.19315079905192056,0.825430221522157
imagenet-sketch,0.354379138910177,0.5734441627856708,0.16859905846581952,0.8278301354277511
imagenet-v2,0.6839,0.8843,0.08463894653320314,0.8571522011738416
tiny-imagenet,0.5725,0.766,0.11920516891479489,0.8166396486120688
normal_dataset,0.14583333333333334,0.29583333333333334,0.2457732745579311,0.7859884093010026
plastic_dataset,0.14775428499937446,0.31052170649318156,0.3027581174696072,0.7352513470525441
objectnet,0.15279422849143964,0.2794766878432217,0.3358480314450075,0.7770635880506153
PUG_ImageNet,0.31402273344805726,0.4783647314554841,0.21748737631992046,0.8097859046891205
AVERAGE,0.39604177306428845,0.578309245297389,0.1951466325073221,0.7997898338716909
