Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.84522,0.96886,0.014695703735351515,0.8734161637488024
imagenet-9,0.5704938271604938,0.7238580246913581,0.041447598021707444,0.9111327430686073
imagenet-a,0.5341897497658237,0.7693028234979259,0.0690925605291027,0.7875660470610857
imagenet-c,0.7094583157894737,0.8848421052631579,0.010064899240594144,0.8792419320711324
imagenet-d,0.19607032057911064,0.5199586349534643,0.30137628281128814,0.6094888946059515
imagenet-hard,0.3121129326047359,0.5801457194899818,0.19809042508484886,0.7654841107086037
imagenet-mini,0.8526,0.9718,0.022019458007812482,0.8693021680669646
imagenet-r,0.5355333333333333,0.7107,0.03854704691569011,0.8464148828024973
imagenet-sketch,0.5497848257973236,0.7784983002220519,0.05842182093682911,0.8401295370784592
imagenet-v2,0.7652,0.9291,0.015640939331054704,0.8563720745085852
tiny-imagenet,0.659,0.8326,0.06535049438476563,0.8184677308104789
normal_dataset,0.28095238095238095,0.518154761904762,0.10405792054675875,0.8085317077533953
plastic_dataset,0.2397097460277743,0.4567746778431127,0.1310403652756709,0.8168517937684201
objectnet,0.2920749434693658,0.437816302358135,0.22171285528020937,0.8010709931157702
PUG_ImageNet,0.4328865139027262,0.6130672040576035,0.05123729997760477,0.8420083356906793
AVERAGE,0.5183524592921694,0.7130319036187702,0.08951971133861925,0.8216986076572954
