Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.84486,0.97034,0.08430638702392579,0.8532131516131471
imagenet-9,0.5423456790123456,0.7029938271604939,0.04328488114439413,0.8784547752386558
imagenet-a,0.24916365582764619,0.5183995717917838,0.20817618597850698,0.6534488702852939
imagenet-c,0.6531858947368421,0.8398621052631579,0.09192264499383225,0.8241413144014882
imagenet-d,0.18386763185108584,0.5466390899689763,0.2972837998430633,0.526264440589123
imagenet-hard,0.2754098360655738,0.5110200364298725,0.1985169957895748,0.7418063735465696
imagenet-mini,0.8542,0.9726,0.09245815429687503,0.8504226192598245
imagenet-r,0.3796333333333333,0.5377666666666666,0.1296560236930847,0.8121567420530863
imagenet-sketch,0.3993397394328833,0.6069484564444182,0.12482960070621835,0.8305380005717933
imagenet-v2,0.7482,0.9187,0.05060808258056641,0.8365062382176849
tiny-imagenet,0.4874,0.7138,0.0657640808105469,0.7773679397364504
normal_dataset,0.20327380952380952,0.3827380952380952,0.18297281265258789,0.7172724543054522
plastic_dataset,0.17665457275115726,0.35118228449893657,0.24046436215795267,0.7166965011732205
objectnet,0.26585549693119415,0.4075051146764294,0.21393941906177025,0.7697419102770511
PUG_ImageNet,0.4266257585363645,0.6110972737976632,0.0934516311436824,0.8037745414382946
AVERAGE,0.446001027200149,0.6394395014624329,0.14117567079177212,0.7727870581804756
