value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
stove-2;50;0.0;0.02;50;0.0
stove-3;50;0.1;0.2;50;0.1
table-lamp-1;50;0.7;0.82;50;0.7
table-lamp-2;50;0.04;0.48;50;0.04
table-lamp-3;50;0.06;0.18;50;0.06
toilet-seat-1;50;0.34;0.52;50;0.34
trash-can-1;50;0.68;0.78;50;0.68
yawl-1;50;0.02;0.3;50;0.26
washer-3;50;0.06;0.08;50;0.06
upright-piano-2;50;0.0;0.2;50;0.22
vase-2;50;0.7;0.8;50;0.7
vase-3;50;0.2;0.8;50;0.2
washer-2;50;0.02;0.02;50;0.02
washer-1;50;0.02;0.1;50;0.02
wall-clock-2;50;0.0;0.14;50;0.16
wine-bottle-1;50;0.72;0.82;50;0.82
earphone-1;49;0.0;0.0;0;
missile-1;49;0.1836734693877551;0.5918367346938775;49;0.5510204081632653
printer-3;49;0.0;0.061224489795918366;49;0.0
remote-1;49;0.10204081632653061;0.1836734693877551;49;0.10204081632653061
wall-clock-1;49;0.02040816326530612;0.04081632653061224;49;0.04081632653061224
trash-can-3;49;0.5918367346938775;0.7142857142857143;49;0.5918367346938775
vase-1;49;0.46938775510204084;0.7142857142857143;49;0.46938775510204084
