rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;hiera_b_in1k__knn;Hiera_B-KNN;0.4136740331491713;0.532707635177973;0.0;0;0;0;0.0
2;hiera_b_in1k__logits;Hiera_B-LOGITS;0.4266257585363645;0.6110972737976632;0.0;0;0;0;0.0
3;hiera_l_in1k__knn;Hiera_L-IN1K-KNN;0.4630807897835341;0.5780839597862513;0.0;0;0;0;0.0
4;hiera_l_in1k__logits;Hiera_L-IN1K-LOGITS;0.4826555565619056;0.664998641427407;0.0;0;0;0;0.0
5;hiera_s_in1k__knn;Hiera_S-IN1K-KNN;0.3794153609274522;0.505219183045014;0.0;0;0;0;0.0
6;hiera_s_in1k__logits;Hiera_S-IN1K-LOGITS;0.39152929988225704;0.5804388189475591;0.0;0;0;0;0.0
